season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1,Main,Sion,1,3.6,,1,1,1,0,100,2,0,6,8,253,7.54,11.9,355,,,,,
1,Main,Blitzcrank,1,3.6,,1,1,0,1,0,8,4,17,6.25,253,4.71,15.3,285,,,,,
1,Main,Dr. Mundo,1,3.6,,1,1,0,1,0,0,3,1,0.33,167,5.35,6.6,211,,,,,
1,Main,Garen,1,3.6,,1,1,0,1,0,5,5,3,1.6,110,3.71,7.6,256,,,,,
1,Main,Kassadin,1,3.6,,1,1,0,1,0,3,3,0,1,166,5.6,7.4,250,,,,,
1,Main,Lux,1,3.6,,1,1,0,1,0,1,3,1,0.67,98,3.39,5.6,194,,,,,
1,Main,Poppy,1,3.6,,1,1,0,1,0,0,2,4,2,82,2.84,5.8,201,,,,,
1,Main,Rammus,1,3.6,,1,1,0,1,0,1,4,5,1.5,100,2.44,8.8,215,,,,,
1,Main,Urgot,1,3.6,,1,1,0,1,0,2,3,2,1.33,140,4.84,6.5,225,,,,,
2,Main,Ezreal,28,90.3,4,24,10,11,13,45.8,4.17,2.42,6.67,4.48,269.63,7.63,12.2,346,,,,,
2,Main,Jayce,26,83.9,14,12,7,7,5,58.3,2.67,2.83,6.08,3.09,218.17,6.26,10.6,305,,,,,
2,Main,Shen,24,77.4,6,18,9,7,11,38.9,2.78,2.56,5.94,3.41,181.56,5.37,10.1,299,,,,,
2,Main,Sona,23,74.2,7,16,7,12,4,75,1.31,2.13,11.69,6.12,23.88,0.67,8.8,247,,,,,
2,Main,Orianna,22,71,13,9,5,8,1,88.9,4,1,6.89,10.89,281.44,8.84,12.1,381,,,,,
2,Main,Karthus,21,67.7,5,16,6,7,9,43.8,4.25,2.88,5.56,3.41,283.31,8.14,12.2,349,,,,,
2,Main,Maokai,21,67.7,6,15,6,9,6,60,1.73,2.13,9.53,5.28,103.87,2.96,9.5,271,,,,,
2,Main,Skarner,21,67.7,12,9,5,7,2,77.8,1.56,2.44,6.89,3.45,115.89,3.31,9.4,268,,,,,
2,Main,Anivia,19,61.3,12,7,3,4,3,57.1,3.71,1.57,6.43,6.45,308.86,8.55,12.8,355,,,,,
2,Main,Alistar,19,61.3,14,5,3,2,3,40,0.6,4,6.6,1.8,26.6,0.8,6.8,204,,,,,
2,Main,Irelia,17,54.8,9,8,6,4,4,50,2.5,3.25,4.5,2.15,232.38,7.15,10.4,321,,,,,
2,Main,Blitzcrank,17,54.8,12,5,5,3,2,60,1,3,8.6,3.2,17.4,0.46,8.5,224,,,,,
2,Main,Kog'Maw,14,45.2,4,10,3,6,4,60,3.4,2.2,5.3,3.95,232.6,7.03,10.6,321,,,,,
2,Main,Vladimir,14,45.2,5,9,5,5,4,55.6,4,3,5.44,3.15,275.67,7.65,12.3,341,,,,,
2,Main,Evelynn,14,45.2,12,2,1,2,0,100,7,2,9,8,209.5,6.53,12.1,376,,,,,
2,Main,Nunu,13,41.9,2,11,6,5,6,45.5,0.73,2.55,5.82,2.57,20.64,0.63,6.8,210,,,,,
2,Main,Yorick,11,35.5,5,6,3,2,4,33.3,2.33,2.67,4.67,2.63,209.33,6.24,9.5,282,,,,,
2,Main,Corki,10,32.3,,10,7,5,5,50,3.9,3.1,6.1,3.23,245.4,6.92,11.6,326,,,,,
2,Main,Jax,10,32.3,5,5,3,3,2,60,3.2,2.8,5.8,3.21,199.2,6.07,10.2,310,,,,,
2,Main,Dr. Mundo,7,22.6,,7,2,5,2,71.4,0.71,1.71,6,3.92,123.71,3.8,8.4,258,,,,,
2,Main,Graves,7,22.6,,7,4,3,4,42.9,3.14,3.29,4.71,2.39,265.71,7.57,11.5,327,,,,,
2,Main,Leona,7,22.6,,7,5,2,5,28.6,1.14,4.43,8.29,2.13,18,0.53,7.2,211,,,,,
2,Main,Olaf,7,22.6,2,5,4,2,3,40,4.6,3.8,7.4,3.16,179.6,4.89,11.3,308,,,,,
2,Main,Lee Sin,7,22.6,4,3,2,3,0,100,4.33,3,14.33,6.22,124.67,3.59,10,287,,,,,
