,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
4416,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-22 08:00:00,Griffin (Korean Team),SK Telecom T1,2,0,1
10616,LJL 2018 Summer,LoL Japan League,LJL,2018-06-22 08:00:00,Crest Gaming Act,Unsold Stuff Gaming,1,2,2
6692,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-22 09:00:00,Rogue Warriors,Snake Esports,2,0,1
13592,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-22 09:00:00,GAM Esports,Cube Adonis,0,2,2
12398,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-22 10:00:00,Avant Gaming,ORDER,0,2,2
4417,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-22 11:00:00,MVP,Jin Air Green Wings,2,0,1
6693,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-22 11:00:00,Team WE,Oh My God,2,1,1
10617,LJL 2018 Summer,LoL Japan League,LJL,2018-06-22 11:00:00,PENTAGRAM,DetonatioN FocusMe,0,2,2
13593,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-22 12:00:00,Phong Vũ Buffalo,EVOS Esports,2,1,1
14831,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-22 14:00:00,YouthCrew Esports,Bursaspor Esports,0,1,2
14832,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-22 15:00:00,HWA Gaming,SuperMassive Esports,0,1,2
19532,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-22 16:00:00,Giants Gaming,Unicorns of Love,0,1,2
14833,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-22 16:00:00,Royal Bandits,Dark Passage,1,0,1
14834,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-22 17:00:00,Team AURORA,Fenerbahçe Esports,1,0,1
19533,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-22 17:00:00,Team ROCCAT,Team Vitality,1,0,1
19534,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-22 18:00:00,G2 Esports,FC Schalke 04 Esports,1,0,1
19535,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-22 19:00:00,Fnatic,H2k-Gaming,1,0,1
19536,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-22 20:00:00,Misfits Gaming,Splyce,1,0,1
10618,LJL 2018 Summer,LoL Japan League,LJL,2018-06-23 05:00:00,Unsold Stuff Gaming,Burning Core,1,2,2
6694,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-23 06:00:00,LGD Gaming,Vici Gaming,1,2,2
13594,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-23 07:00:00,Cherry Esports,FTV Esports,2,0,1
12399,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-23 07:00:00,Chiefs Esports Club,Bombers,2,1,1
4418,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-23 08:00:00,KT Rolster,Gen.G,2,0,1
16430,LMS 2018 Summer,LoL Master Series,LMS,2018-06-23 08:00:00,Machi Esports,MAD Team,1,2,2
10619,LJL 2018 Summer,LoL Japan League,LJL,2018-06-23 08:00:00,PENTAGRAM,V3 Esports,2,1,1
6695,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-23 09:00:00,Suning,JD Gaming,1,2,2
12400,OPL 2018 Split 2,Oceanic Pro League,OPL,2018-06-23 10:00:00,Legacy Esports,MAMMOTH,2,1,1
13595,VCS 2018 Summer,Vietnam Championship Series,VCS,2018-06-23 10:00:00,Vikings Gaming,GAM Esports,0,2,2
16431,LMS 2018 Summer,LoL Master Series,LMS,2018-06-23 11:00:00,ahq eSports Club,Flash Wolves,0,2,2
10620,LJL 2018 Summer,LoL Japan League,LJL,2018-06-23 11:00:00,DetonatioN FocusMe,Crest Gaming Act,2,0,1
6696,LPL 2018 Summer,Tencent LoL Pro League,LPL,2018-06-23 11:00:00,Royal Never Give Up,Bilibili Gaming,2,0,1
4419,LCK 2018 Summer,LoL Champions Korea,LCK,2018-06-23 11:00:00,Hanwha Life Esports,Afreeca Freecs,2,1,1
14835,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-23 12:00:00,Team AURORA,HWA Gaming,0,1,2
14836,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-23 13:00:00,Bursaspor Esports,Royal Bandits,1,0,1
14837,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-23 14:00:00,Fenerbahçe Esports,YouthCrew Esports,1,0,1
19537,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-23 15:00:00,Team ROCCAT,FC Schalke 04 Esports,0,1,2
8605,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-23 15:00:00,INTZ,Flamengo Esports,1,2,2
14838,TCL 2018 Summer,Turkish Championship League,TCL,2018-06-23 15:00:00,SuperMassive Esports,Dark Passage,1,0,1
19538,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-23 16:00:00,Misfits Gaming,Giants Gaming,1,0,1
19954,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-23 16:00:00,Kaos Latin Gamers,Evilvice Esports,1,0,1
19955,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-23 17:00:00,Rebirth eSports,Legatum,1,0,1
19539,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-23 17:00:00,G2 Esports,H2k-Gaming,1,0,1
8606,CBLOL 2018 Split 2,Circuit Brazilian League of Legends,CBLOL,2018-06-23 17:30:00,CNB e-Sports Club,ProGaming Esports,2,1,1
19956,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-23 18:00:00,Hafnet eSports,Furious Gaming,1,0,1
19540,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-23 18:00:00,Unicorns of Love,Splyce,1,0,1
19541,EU LCS 2018 Summer,Europe League Championship Series,EU LCS,2018-06-23 19:00:00,Fnatic,Team Vitality,1,0,1
19957,CLS 2018 Closing,Copa Latinoamérica Sur,CLS,2018-06-23 19:00:00,Dark Horse,Isurus,0,1,2
19753,LLN 2018 Closing,Liga Latinoamérica Norte,LLN,2018-06-23 21:00:00,Rainbow7,ZAGA Talent Gaming,1,0,1
18167,NA LCS 2018 Summer,North America League Championship Series,NA LCS,2018-06-23 21:00:00,Counter Logic Gaming,Team Liquid,0,1,2
