,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red
5234,LCK 2016 Spring,LCK,2016-01-29 11:16:00,Longzhu Gaming,Afreeca Freecs,Longzhu Gaming,13.0,11.0,88900.0,75900.0,3.0,3.0,2.0,0.0,1.0,2.0,11.0,3.0,,,2016,LZ,KR,KDF,KR,LZ,KR,Blue
5238,LCK 2016 Spring,LCK,2016-01-29 12:40:00,Afreeca Freecs,Longzhu Gaming,Longzhu Gaming,7.0,12.0,75300.0,85400.0,0.0,5.0,0.0,1.0,1.0,0.0,3.0,11.0,,,2016,KDF,KR,LZ,KR,LZ,KR,Red
5250,LCK 2016 Spring,LCK,2016-01-30 08:00:00,ROX Tigers,Samsung Galaxy,ROX Tigers,13.0,5.0,61000.0,48200.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,,,2016,ROX,KR,SSG,KR,ROX,KR,Blue
5251,LCK 2016 Spring,LCK,2016-01-30 08:48:00,Samsung Galaxy,ROX Tigers,ROX Tigers,5.0,17.0,46500.0,59300.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,10.0,,,2016,SSG,KR,ROX,KR,ROX,KR,Red
5254,LCK 2016 Spring,LCK,2016-01-30 09:41:00,Jin Air Green Wings,SBENU Sonicboom,Jin Air Green Wings,12.0,5.0,95300.0,89400.0,3.0,2.0,1.0,1.0,0.0,0.0,9.0,7.0,,,2016,JAG,KR,,NA,JAG,KR,Blue
5258,LCK 2016 Spring,LCK,2016-01-30 11:06:00,SBENU Sonicboom,Jin Air Green Wings,Jin Air Green Wings,9.0,13.0,82300.0,89100.0,1.0,4.0,1.0,0.0,1.0,0.0,4.0,9.0,,,2016,,NA,JAG,KR,JAG,KR,Red
5305,LCK 2016 Spring,LCK,2016-02-03 07:59:00,e-mFire,KT Rolster,KT Rolster,0.0,11.0,41500.0,54800.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,8.0,,,2016,EMF,KR,KT,KR,KT,KR,Red
5307,LCK 2016 Spring,LCK,2016-02-03 08:50:00,KT Rolster,e-mFire,KT Rolster,10.0,6.0,70000.0,68500.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,5.0,,,2016,KT,KR,EMF,KR,KT,KR,Blue
5309,LCK 2016 Spring,LCK,2016-02-03 10:00:00,CJ Entus,Longzhu Gaming,CJ Entus,11.0,4.0,95500.0,88000.0,5.0,0.0,1.0,1.0,0.0,0.0,10.0,4.0,,,2016,CJ,KR,LZ,KR,CJ,KR,Blue
5311,LCK 2016 Spring,LCK,2016-02-03 11:25:00,Longzhu Gaming,CJ Entus,Longzhu Gaming,9.0,1.0,56600.0,39200.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,,,2016,LZ,KR,CJ,KR,LZ,KR,Blue
5313,LCK 2016 Spring,LCK,2016-02-03 12:17:00,CJ Entus,Longzhu Gaming,CJ Entus,12.0,9.0,77500.0,69400.0,3.0,2.0,1.0,0.0,0.0,2.0,10.0,2.0,,,2016,CJ,KR,LZ,KR,CJ,KR,Blue
5316,LCK 2016 Spring,LCK,2016-02-04 08:01:00,Afreeca Freecs,ROX Tigers,ROX Tigers,12.0,13.0,60800.0,72300.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,9.0,,,2016,KDF,KR,ROX,KR,ROX,KR,Red
5317,LCK 2016 Spring,LCK,2016-02-04 08:55:00,ROX Tigers,Afreeca Freecs,Afreeca Freecs,4.0,16.0,47100.0,57100.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,,,2016,ROX,KR,KDF,KR,KDF,KR,Red
5318,LCK 2016 Spring,LCK,2016-02-04 09:43:00,Afreeca Freecs,ROX Tigers,ROX Tigers,9.0,18.0,49000.0,62700.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,10.0,,,2016,KDF,KR,ROX,KR,ROX,KR,Red
5319,LCK 2016 Spring,LCK,2016-02-04 10:44:00,SBENU Sonicboom,SK Telecom T1,SK Telecom T1,2.0,8.0,53300.0,65000.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,9.0,,,2016,,NA,T1,KR,T1,KR,Red
5321,LCK 2016 Spring,LCK,2016-02-04 11:42:00,SK Telecom T1,SBENU Sonicboom,SK Telecom T1,14.0,6.0,59300.0,44900.0,1.0,2.0,1.0,0.0,2.0,0.0,10.0,2.0,,,2016,T1,KR,,NA,T1,KR,Blue
5337,LCK 2016 Spring,LCK,2016-02-05 08:01:00,Jin Air Green Wings,Samsung Galaxy,Samsung Galaxy,16.0,18.0,98400.0,110900.0,2.0,5.0,1.0,1.0,0.0,1.0,6.0,11.0,,,2016,JAG,KR,SSG,KR,SSG,KR,Red
5338,LCK 2016 Spring,LCK,2016-02-05 09:19:00,Samsung Galaxy,Jin Air Green Wings,Jin Air Green Wings,4.0,12.0,55400.0,66200.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,9.0,,,2016,SSG,KR,JAG,KR,JAG,KR,Red
5340,LCK 2016 Spring,LCK,2016-02-05 10:14:00,Jin Air Green Wings,Samsung Galaxy,Samsung Galaxy,11.0,14.0,74300.0,84600.0,0.0,6.0,0.0,1.0,1.0,0.0,3.0,11.0,,,2016,JAG,KR,SSG,KR,SSG,KR,Red
5342,LCK 2016 Spring,LCK,2016-02-05 11:21:00,e-mFire,Longzhu Gaming,Longzhu Gaming,4.0,8.0,87800.0,100500.0,4.0,3.0,0.0,2.0,0.0,1.0,4.0,9.0,,,2016,EMF,KR,LZ,KR,LZ,KR,Red
5344,LCK 2016 Spring,LCK,2016-02-05 12:50:00,Longzhu Gaming,e-mFire,Longzhu Gaming,20.0,9.0,63000.0,44100.0,2.0,1.0,1.0,0.0,2.0,0.0,11.0,1.0,,,2016,LZ,KR,EMF,KR,LZ,KR,Blue
5411,LCK 2016 Spring,LCK,2016-02-12 07:56:00,Longzhu Gaming,SBENU Sonicboom,SBENU Sonicboom,7.0,11.0,85100.0,92400.0,2.0,5.0,1.0,1.0,2.0,0.0,6.0,9.0,,,2016,LZ,KR,,NA,,NA,Red
5412,LCK 2016 Spring,LCK,2016-02-12 09:18:00,SBENU Sonicboom,Longzhu Gaming,Longzhu Gaming,12.0,13.0,66100.0,79100.0,1.0,3.0,0.0,3.0,1.0,2.0,3.0,11.0,,,2016,,NA,LZ,KR,LZ,KR,Red
5414,LCK 2016 Spring,LCK,2016-02-12 10:21:00,Longzhu Gaming,SBENU Sonicboom,Longzhu Gaming,23.0,6.0,64700.0,50600.0,1.0,1.0,0.0,1.0,2.0,0.0,10.0,2.0,,,2016,LZ,KR,,NA,LZ,KR,Blue
5415,LCK 2016 Spring,LCK,2016-02-12 11:13:00,ROX Tigers,e-mFire,ROX Tigers,20.0,8.0,71100.0,56700.0,1.0,2.0,1.0,0.0,0.0,1.0,11.0,3.0,,,2016,ROX,KR,EMF,KR,ROX,KR,Blue
5416,LCK 2016 Spring,LCK,2016-02-12 12:21:00,e-mFire,ROX Tigers,ROX Tigers,1.0,13.0,35000.0,57300.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,11.0,,,2016,EMF,KR,ROX,KR,ROX,KR,Red
5428,LCK 2016 Spring,LCK,2016-02-13 08:01:00,CJ Entus,Afreeca Freecs,CJ Entus,20.0,6.0,88500.0,70600.0,3.0,3.0,2.0,0.0,2.0,0.0,11.0,2.0,,,2016,CJ,KR,KDF,KR,CJ,KR,Blue
5430,LCK 2016 Spring,LCK,2016-02-13 09:05:00,Afreeca Freecs,CJ Entus,Afreeca Freecs,10.0,5.0,60400.0,49000.0,5.0,0.0,1.0,0.0,2.0,1.0,10.0,3.0,,,2016,KDF,KR,CJ,KR,KDF,KR,Blue
5432,LCK 2016 Spring,LCK,2016-02-13 09:56:00,CJ Entus,Afreeca Freecs,CJ Entus,16.0,10.0,68800.0,58500.0,1.0,3.0,2.0,0.0,0.0,2.0,11.0,3.0,,,2016,CJ,KR,KDF,KR,CJ,KR,Blue
5434,LCK 2016 Spring,LCK,2016-02-13 10:52:00,SK Telecom T1,KT Rolster,SK Telecom T1,17.0,12.0,91600.0,80900.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,,,2016,T1,KR,KT,KR,T1,KR,Blue
5436,LCK 2016 Spring,LCK,2016-02-13 12:15:00,KT Rolster,SK Telecom T1,SK Telecom T1,1.0,12.0,49400.0,66100.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,10.0,,,2016,KT,KR,T1,KR,T1,KR,Red
5476,LCK 2016 Spring,LCK,2016-02-17 08:00:00,KT Rolster,Jin Air Green Wings,Jin Air Green Wings,12.0,22.0,99300.0,103900.0,1.0,6.0,1.0,1.0,2.0,0.0,4.0,9.0,,,2016,KT,KR,JAG,KR,JAG,KR,Red
5478,LCK 2016 Spring,LCK,2016-02-17 09:17:00,Jin Air Green Wings,KT Rolster,KT Rolster,2.0,11.0,58200.0,75600.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,11.0,,,2016,JAG,KR,KT,KR,KT,KR,Red
5479,LCK 2016 Spring,LCK,2016-02-17 10:17:00,KT Rolster,Jin Air Green Wings,Jin Air Green Wings,4.0,13.0,57300.0,74600.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,11.0,,,2016,KT,KR,JAG,KR,JAG,KR,Red
5480,LCK 2016 Spring,LCK,2016-02-17 11:18:00,Samsung Galaxy,CJ Entus,Samsung Galaxy,11.0,4.0,66600.0,48300.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,,,2016,SSG,KR,CJ,KR,SSG,KR,Blue
5481,LCK 2016 Spring,LCK,2016-02-17 12:24:00,CJ Entus,Samsung Galaxy,CJ Entus,12.0,13.0,98900.0,100900.0,5.0,2.0,2.0,1.0,1.0,1.0,11.0,7.0,,,2016,CJ,KR,SSG,KR,CJ,KR,Blue
5482,LCK 2016 Spring,LCK,2016-02-17 13:40:00,Samsung Galaxy,CJ Entus,Samsung Galaxy,9.0,3.0,53600.0,43300.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,,,2016,SSG,KR,CJ,KR,SSG,KR,Blue
5483,LCK 2016 Spring,LCK,2016-02-18 07:59:00,SK Telecom T1,Longzhu Gaming,Longzhu Gaming,6.0,7.0,63800.0,70600.0,1.0,3.0,0.0,1.0,1.0,1.0,7.0,9.0,,,2016,T1,KR,LZ,KR,LZ,KR,Red
5484,LCK 2016 Spring,LCK,2016-02-18 08:56:00,Longzhu Gaming,SK Telecom T1,Longzhu Gaming,15.0,3.0,58600.0,48500.0,2.0,1.0,1.0,0.0,1.0,0.0,11.0,5.0,,,2016,LZ,KR,T1,KR,LZ,KR,Blue
5486,LCK 2016 Spring,LCK,2016-02-18 09:48:00,e-mFire,Afreeca Freecs,Afreeca Freecs,9.0,17.0,58300.0,69400.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,11.0,,,2016,EMF,KR,KDF,KR,KDF,KR,Red
5489,LCK 2016 Spring,LCK,2016-02-18 10:58:00,Afreeca Freecs,e-mFire,Afreeca Freecs,11.0,7.0,64000.0,47900.0,4.0,0.0,1.0,0.0,2.0,0.0,11.0,3.0,,,2016,KDF,KR,EMF,KR,KDF,KR,Blue
