,Tournament,League,Date,Team1,Team2,WinTeam,Team1Kills,Team2Kills,Team1Gold,Team2Gold,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1RiftHeralds,Team2RiftHeralds,Team1Towers,Team2Towers,Team1Inhibitors,Team2Inhibitors,Year,Team_T1,Region_code_T1,Team_T2,Region_code_T2,Team_Win,Region_code_Win,Blue/Red,Win_RiftHeralds,Lose_RiftHeralds,Win_Towers,Lose_Towers,Win_Inhibitors,Lose_Inhibitors,Win_Kills,Lose_Kills,Win_Dragons,Lose_Dragons,Win_Barons,Lose_Barons
26603,Worlds 2021 Play-In,WCS,2021-10-07 10:13:00,LNG Esports,INFINITY,LNG Esports,21,3,49717,33627,2,1,0,0,2,0,9,1,1,0,2021,LNG,CN,INF,LAT,LNG,CN,Blue,2,0,9,1,1,0,21,3,2,1,0,0
26604,Worlds 2021 Play-In,WCS,2021-10-07 11:37:00,PEACE (Oceanic Team),RED Canids,PEACE (Oceanic Team),25,9,59601,51137,2,2,0,1,2,0,9,3,1,0,2021,PCE,PCS,RED,BR,PCE,PCS,Blue,2,0,9,3,1,0,25,9,2,2,0,1
26605,Worlds 2021 Play-In,WCS,2021-10-07 12:33:00,DetonatioN FocusMe,Beyond Gaming,DetonatioN FocusMe,22,4,63423,48018,3,1,1,0,2,0,8,0,1,0,2021,DFM,JP,BYG,PCS,DFM,JP,Blue,2,0,8,0,1,0,22,4,3,1,1,0
26606,Worlds 2021 Play-In,WCS,2021-10-07 13:31:00,Cloud9,Unicorns of Love.CIS,Unicorns of Love.CIS,11,19,42930,48549,1,3,0,0,1,1,2,7,0,1,2021,C9,NA,UOL,INT,UOL,INT,Red,1,1,7,2,1,0,19,11,3,1,0,0
26607,Worlds 2021 Play-In,WCS,2021-10-07 14:28:00,Unicorns of Love.CIS,Beyond Gaming,Beyond Gaming,14,19,61615,71873,1,4,1,1,1,1,2,11,0,3,2021,UOL,INT,BYG,PCS,BYG,PCS,Red,1,1,11,2,3,0,19,14,4,1,1,1
26608,Worlds 2021 Play-In,WCS,2021-10-07 15:30:00,DetonatioN FocusMe,Cloud9,DetonatioN FocusMe,20,12,70988,62814,2,4,2,0,1,1,8,4,1,0,2021,DFM,JP,C9,NA,DFM,JP,Blue,1,1,8,4,1,0,20,12,2,4,2,0
26609,Worlds 2021 Play-In,WCS,2021-10-08 10:33:00,Galatasaray Esports,Beyond Gaming,Galatasaray Esports,22,19,76788,76445,6,0,0,2,0,2,7,6,1,0,2021,GS,EMEA,BYG,PCS,GS,EMEA,Blue,0,2,7,6,1,0,22,19,6,0,0,2
26610,Worlds 2021 Play-In,WCS,2021-10-08 11:56:00,Galatasaray Esports,Beyond Gaming,Galatasaray Esports,23,28,72834,70751,2,4,1,1,1,1,9,6,1,1,2021,GS,EMEA,BYG,PCS,GS,EMEA,Blue,1,1,9,6,1,1,23,28,2,4,1,1
26611,Worlds 2021 Play-In,WCS,2021-10-08 12:55:00,Galatasaray Esports,Beyond Gaming,Beyond Gaming,7,22,45503,57088,0,4,0,1,1,1,3,10,0,3,2021,GS,EMEA,BYG,PCS,BYG,PCS,Red,1,1,10,3,3,0,22,7,4,0,1,0
26612,Worlds 2021 Play-In,WCS,2021-10-08 14:01:00,Beyond Gaming,Galatasaray Esports,Beyond Gaming,28,13,64151,55401,3,1,0,1,2,0,9,4,1,0,2021,BYG,PCS,GS,EMEA,BYG,PCS,Blue,2,0,9,4,1,0,28,13,3,1,0,1
26613,Worlds 2021 Play-In,WCS,2021-10-08 14:52:00,Galatasaray Esports,Beyond Gaming,Beyond Gaming,9,14,56704,61836,3,3,0,1,1,0,2,7,0,1,2021,GS,EMEA,BYG,PCS,BYG,PCS,Red,0,1,7,2,1,0,14,9,3,3,1,0
26614,Worlds 2021 Play-In,WCS,2021-10-08 15:50:00,PEACE (Oceanic Team),RED Canids,RED Canids,22,27,58132,63103,1,3,0,1,1,1,3,9,0,2,2021,PCE,PCS,RED,BR,RED,BR,Red,1,1,9,3,2,0,27,22,3,1,1,0
26615,Worlds 2021 Play-In,WCS,2021-10-08 17:23:00,PEACE (Oceanic Team),RED Canids,PEACE (Oceanic Team),24,7,56758,43097,2,1,1,0,2,0,10,2,1,0,2021,PCE,PCS,RED,BR,PCE,PCS,Blue,2,0,10,2,1,0,24,7,2,1,1,0
26616,Worlds 2021 Play-In,WCS,2021-10-08 18:09:00,RED Canids,PEACE (Oceanic Team),PEACE (Oceanic Team),9,23,41757,54880,2,2,0,1,0,2,2,9,0,1,2021,RED,BR,PCE,PCS,PCE,PCS,Red,2,0,9,2,1,0,23,9,2,2,1,0
26617,Worlds 2021 Play-In,WCS,2021-10-08 19:01:00,PEACE (Oceanic Team),RED Canids,RED Canids,4,17,37048,50592,1,1,0,1,1,1,1,11,0,3,2021,PCE,PCS,RED,BR,RED,BR,Red,1,1,11,1,3,0,17,4,1,1,1,0
26618,Worlds 2021 Play-In,WCS,2021-10-08 19:46:00,RED Canids,PEACE (Oceanic Team),PEACE (Oceanic Team),4,18,34827,50394,0,3,0,1,0,2,0,10,0,3,2021,RED,BR,PCE,PCS,PCE,PCS,Red,2,0,10,0,3,0,18,4,3,0,1,0
26619,Worlds 2021 Play-In,WCS,2021-10-09 10:20:00,Beyond Gaming,Hanwha Life Esports,Hanwha Life Esports,6,18,46730,57531,0,3,0,0,1,1,3,8,0,1,2021,BYG,PCS,HLE,KR,HLE,KR,Red,1,1,8,3,1,0,18,6,3,0,0,0
26620,Worlds 2021 Play-In,WCS,2021-10-09 11:43:00,Hanwha Life Esports,Beyond Gaming,Hanwha Life Esports,26,9,50589,38085,2,0,1,0,1,1,9,2,1,0,2021,HLE,KR,BYG,PCS,HLE,KR,Blue,1,1,9,2,1,0,26,9,2,0,1,0
26621,Worlds 2021 Play-In,WCS,2021-10-09 12:31:00,Hanwha Life Esports,Beyond Gaming,Hanwha Life Esports,11,5,49256,38419,2,0,1,0,2,0,9,2,2,0,2021,HLE,KR,BYG,PCS,HLE,KR,Blue,2,0,9,2,2,0,11,5,2,0,1,0
26622,Worlds 2021 Play-In,WCS,2021-10-09 13:16:00,PEACE (Oceanic Team),Cloud9,Cloud9,12,21,56433,62734,3,2,0,0,1,1,4,7,0,1,2021,PCE,PCS,C9,NA,C9,NA,Red,1,1,7,4,1,0,21,12,2,3,0,0
