,Team,ID,Nationality,Country,Birthdate,IsRetired,Region
1043,,,,,,,Europe
1044,,,,,,,CIS
1045,,,,,,,North America
1046,,,,,,,CIS
1047,,,,,,,CIS
1048,,,,,,,CIS
1049,,,,,,,CIS
1050,,,,,,,CIS
1051,,,,,,,CIS
1052,,,,,,,CIS
1053,,,,,,,Oceania
1054,,,,,,,Oceania
1055,,,,,,,EMEA
1056,,,,,,,EMEA
1057,,,,,,,EMEA
1058,,,,,,,EMEA
1059,,,,,,,Turkey
1060,,,,,,,Turkey
1061,,,,,,,Turkey
1062,,,,,,,Turkey
1063,,,,,,,Turkey
1064,,,,,,,Europe
1065,,,,,,,Europe
1066,,,,,,,China
1067,,,,,,,Europe
1068,,,,,,,China
1069,,,,,,,Europe
1070,,,,,,,Europe
1071,,,,,,,Latin America
1072,,,,,,,Latin America
1073,,,,,,,North America
1074,,,,,,,Europe
1075,,,,,,,North America
1076,,,,,,,Europe
1077,,,,,,,Europe
1078,,,,,,,Korea
1079,,,,,,,Korea
1080,,,,,,,Korea
1081,,,,,,,LMS
1082,,,,,,,Turkey
1083,,,,,,,Korea
1084,,,,,,,Korea
1085,,,,,,,Korea
1086,,,,,,,Korea
1087,,,,,,,Korea
1088,,,,,,,Korea
1089,,,,,,,LMS
1090,,,,,,,LMS
1091,,,,,,,Korea
1092,,,,,,,North America
1093,,,,,,,China
1094,,,,,,,PCS
1095,,,,,,,MENA
1096,,,,,,,Japan
1097,,,,,,,Korea
1098,,,,,,,Latin America
1099,,,,,,,China
1100,,,,,,,North America
1101,,,,,,,North America
1102,,,,,,,Latin America
1103,,,,,,,North America
1104,,,,,,,North America
1105,,,,,,,North America
1106,,,,,,,Europe
1107,,,,,,,China
1108,,,,,,,China
1109,,,,,,,Latin America
1110,,,,,,,North America
1111,,,,,,,Europe
1112,,,,,,,Europe
1113,,,,,,,Europe
1114,,,,,,,Europe
1115,,,,,,,Europe
1116,,,,,,,EMEA
1117,,,,,,,SEA
1118,,,,,,,North America
1119,,,,,,,North America
1120,,,,,,,North America
1121,,,,,,,North America
1122,,,,,,,North America
1123,,,,,,,North America
1124,,,,,,,SEA
1125,,,,,,,SEA
1126,,,,,,,Latin America
1127,,,,,,,Latin America
1128,,,,,,,Oceania
1129,,,,,,,Oceania
1130,,,,,,,Oceania
1131,,,,,,,PCS
1132,,,,,,,Latin America
1133,,,,,,,Latin America
1134,,,,,,,EMEA
1135,,,,,,,EMEA
1136,,,,,,,EMEA
1137,,,,,,,EMEA
1138,,,,,,,PCS
1139,,,,,,,China
1140,,,,,,,Vietnam
1141,,,,,,,North America
1142,,,,,,,North America
1143,,,,,,,North America
1144,,,,,,,Latin America
1145,,,,,,,Europe
1146,,,,,,,PCS
1147,,,,,,,Europe
1148,,,,,,,Europe
1149,,,,,,,Europe
1150,,,,,,,SEA
1151,,,,,,,Europe
1152,,,,,,,Latin America
