,Tournament,League,League_short,Date,Team1,Team2,Team1Score,Team2Score,Winner
3593,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-22 18:00:00,Team BDS,Rogue (European Team),0,1,2
9179,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-22 19:00:00,Rensga Esports,RED Canids,0,1,2
3594,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-22 19:00:00,Misfits Gaming,Fnatic,0,1,2
3595,LEC 2022 Spring,LoL EMEA Championship,LEC,2022-01-22 20:00:00,Team Vitality,G2 Esports,1,0,1
2595,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-22 21:30:00,100 Thieves,Dignitas,0,2,2
2596,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-23 00:30:00,Team Liquid,FlyQuest,2,0,1
7684,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-23 07:00:00,Anyone's Legend,Weibo Gaming,0,2,2
5099,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-23 08:00:00,Liiv SANDBOX,T1,0,2,2
7685,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-23 09:00:00,Invictus Gaming,Royal Never Give Up,0,2,2
5100,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-23 11:00:00,Kwangdong Freecs,DRX,0,2,2
15723,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-23 11:00:00,Beşiktaş Esports,Fenerbahçe Esports,1,0,1
7686,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-23 11:00:00,Victory Five,Top Esports,2,1,1
15724,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-23 12:00:00,Team AURORA,NASR eSports Turkey,1,0,1
15725,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-23 13:00:00,Galatasaray Esports,Dark Passage,0,1,2
15726,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-23 14:00:00,Galakticos,Istanbul Wildcats,0,1,2
15727,TCL 2022 Winter,Turkish Championship League,TCL,2022-01-23 15:00:00,SuperMassive Blaze,5 Ronin,0,1,2
9180,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-23 16:00:00,Liberty,Rensga Esports,1,0,1
9181,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-23 17:00:00,RED Canids,LOUD,1,0,1
9182,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-23 18:00:00,INTZ,Netshoes Miners,0,1,2
9183,CBLOL 2022 Split 1,Circuit Brazilian League of Legends,CBLOL,2022-01-23 19:00:00,Flamengo Esports,FURIA,0,1,2
2597,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-23 20:30:00,Evil Geniuses.NA,Golden Guardians,2,0,1
2598,LCS 2022 Lock In,League of Legends Championship Series,LCS,2022-01-23 23:30:00,Cloud9,Counter Logic Gaming,2,1,1
7687,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-24 09:00:00,LGD Gaming,Oh My God,2,1,1
7688,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-24 11:00:00,Rare Atom,Bilibili Gaming,0,2,2
7689,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-25 09:00:00,Invictus Gaming,Ultra Prime,0,2,2
7690,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-25 11:00:00,ThunderTalk Gaming,Anyone's Legend,2,1,1
5101,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-26 08:00:00,Gen.G,Kwangdong Freecs,2,0,1
7691,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-26 09:00:00,Weibo Gaming,Victory Five,2,1,1
7692,LPL 2022 Spring,Tencent LoL Pro League,LPL,2022-01-26 11:00:00,LNG Esports,FunPlus Phoenix,2,1,1
5102,LCK 2022 Spring,LoL Champions Korea,LCK,2022-01-26 11:00:00,DRX,Fredit BRION,2,0,1
