Team,Team_abbr,Region_code
OFFSET Esports,OFF7,EMEA
OG Esports,OGE,LAT
Oh My Dream,OMD,CN
Oh My Girls,OMGirls,CN
Oh My God,OMG,CN
Oh My God 2,OMG 2,CN
Ohio Northern University,ONU,NA
Ohio State University,OSU,NA
OKGG White,OKGG.W,EMEA
Okinawan Tigers,OT,JP
OKSavingsBank BRION,BRO,KR
OKSavingsBank BRION Academy,BRO.A,KR
OKSavingsBank BRION Challengers,BRO.C,KR
Old Hunters,OHT,INT
Olympiacos Alimou,GOAL,EMEA
Olympus Gaming,OLY,INT
Omega Gaming,OMG,NA
Omerix,OX,EMEA
Once Caldas Esports,OC,LAT
Once Upon A Team,OUAT,EMEA
One Breath Gaming,OBG,INT
One More Esports,1M,EMEA
ONE SEVEN EIGHT,OSE,INT
One Trick Production,OTP,EMEA
OnlyGame,OG,CN
Onoda Esports,ONODA,LAT
Onyx Esports,ONYX,PCS
OP Gaming,OPG,KR
OP innogy eSport,OP,EMEA
OpenMidPlease,OMP,INT
Operation Kino e-Sports,OPK,BR
OpTic Gaming,OPT,NA
OpTic Gaming Academy,OPT.A,NA
optical spectrum E-sports,OSE,CN
Optimization Gaming,OG,EMEA
Optimum Cowboys,OC,EMEA
OQ,OQ,NA
Orange Esports,ORG,PCS
Orbit Anonymo,OAE,EMEA
Orbit Gaming,ORB,NA
ORDER,ORD,PCS
ORDER Academy,ORDA,PCS
Ordinance Gaming,OG,NA
Ordo Equitum,OE,INT
Orgless,ORGL,NA
Origen,OG,EMEA
Origen Academy,OG.A,EMEA
Origen BCN,OGB,EMEA
Origen ESP,OGE,EMEA
Origine Online,Origine,EMEA
Orion Esport,OR,EMEA
Osaka,OSK,LAT
Oserv Esport,OSV,EMEA
Osh-Tekk Warriors,OTW,INT
Osos Mafiosos,OSM,INT
Östersunds FK Esports,OFK,EMEA
Ottawa University,OU,NA
Out of the Blue,OOB,EMEA
Outlaws,OLW,PCS
Outlawz,OTL,EMEA
Outplayed Academy,OP.A,EMEA
OuYi Game Team,OY,CN
Over Power Gaming Center,OPGC,INT
Overdrive,OVD,JP
OverGaming,OG,EMEA
Overload,OVL,BR
OverMinds,OVM,INT
OverPower Esports,OPG,VN
Ownerd e-Sports,Ownerd,BR
Oxygen Valiants,O2V,EMEA
Oyun Hizmetleri,OH,EMEA
Oyun Hizmetleri ÇİLEKLER,OHC,EMEA
OZ Gaming,OZ,KR
P11 Esports,P11,EMEA
P3P eSports,P3P,EMEA
Pacific eSports,PCFC,PCS
Packa Pappas Kappsäck,PPK,EMEA
paiN Gaming,PNG,BR
Pain Gaming,PG,EMEA
paiN Gaming Academy,PNG.A,BR
PAM eSports,PAM,EMEA
Pampas,PAM,LAT
Panathinaikos AC eSports,PAO,EMEA
Panda Cub Hugging Club,PCHC,PCS
PandaCute,PDQ,INT
Pandy Pandas,PAND,NA
PANTHERS Gaming,PG,EMEA
Papara SuperMassive,SUP,EMEA
Parabellum Esports,PRB,NA
Paradox Gaming,PDG,PCS
Paris Saint-Germain eSports,PSG,EMEA
Pars eSports,Pars,EMEA
Partizan Esports,PAR,EMEA
Pathos,PTS,KR
Pawn Gaming,PWN,EMEA
PCHunter,PCH,EMEA
PCS Taran,PCS.T,EMEA
PDK Sideral,PDK,EMEA
PDW,PDW,EMEA
PEACE,PCE,PCS
Peak Performance,PPE,NA
Peak Performance X,PPX,NA
Peak Performance Y,PPY,NA
peculiar gaming,P,EMEA
PÊEK Gaming,PK,LAT
PeesPlay Gaming,PPG,BR
PENTA 1860,PTA,EMEA
Pentagon Maze,PM,EMEA
Pentagon Rejects,PTR,EMEA
PENTAGRAM,PGM,JP
Pentakill.gr,5K,EMEA
Pentanet.GG,PGG,PCS
Pentanet.GG Rise,PGGR,PCS
People's Red Wolf Gaming,PRW,CN
Pepehands,PEPE,NA
Percent Esports,PER,VN
Perfectionvore,Pvore,INT
Pertinax Esports,PTX,EMEA
PEX Team,PEX,LAT
Phelan Gaming,PHL,EMEA
Phlox Gaming,PHX,EMEA
Phoenix Esports,PX,PCS
Phoenix1,P1,NA
Phong Vũ Buffalo,PVB,VN
Piast Gliwice Esports,PGE,EMEA
PIGSPORTS,PIG,EMEA
Ping is the Problem,PIP,NA
Pirate Dream,PD,LAT
piratesports,ARR,EMEA
piratesports Academy,ARR.A,EMEA
PIRTS,PRT,EMEA
Pixel Esports Club,PIX,LAT
PKMaster,PKM,INT
PL Gaming,PL,INT
Planetary Collision Esports,PLAN,NA
Planetkey Dynamics,PKD,EMEA
PlaPro.c58,PPC58,INT
Play Again,PYN,INT
Play With Soul,PWS,EMEA
PlayArt Gaming,playArt,BR
Playing Ducks,PD,EMEA
Playing Ducks Europe,pD EU,EMEA
Plejehjemmet Kalder,PK,EMEA
Pogoń Szczecin,POG,EMEA
Polar Ace,PA,NA
Polar Bears,PBR,EMEA
Polar Squad Esports,PLS,LAT
Polaris Gaming,PG,LAT
Polska Gurom,POL,EMEA
Pondok Gaming,Pondok,PCS
Positive Energy,PE,CN
PostFinance Helix,PFX,EMEA
Power Team Sports,PWT,BR
Powned.it,PWN,EMEA
Predators Academy,PDS.A,LAT
Predators Esports,PDS,LAT
PRIDE,PRD,EMEA
PRIDE Academy,PRD.A,EMEA
Pride ESCA Academy,TEG.A,EMEA
PrideFC,PFC,EMEA
PRIMATE,PMT,LAT
Prime Clan,Prime,KR
Prime Optimus,PO,KR
PRO42,P42,LAT
Prodigy Esports,PRG,BR
ProGaming Esports,PRG,BR
Project Conquerors,PCS,EMEA
Project Guardians,PG,LAT
Project Sinners,PJS,EMEA
Protecting Guardians,PG,EMEA
ProXima Gaming,PRX,EMEA
PSG Talon,PSG,PCS
PSG Talon Academy,PSG.A,PCS
PSV Esports,PSV,EMEA
PSV Esports Academy,PSV.A,EMEA
Psykodelic Esports,PSK,LAT
Public Enemy,PE,EMEA
Pulse Esports,PS,NA
Pulsia Esport,PL,EMEA
PunchLine Esport Club,pLine,EMEA
Puppies Esports,PES,VN
Purdue University,PU,NA
Purdue University Northwest,PNW,NA
Purple Haze Gaming,PH,INT
Pushing Gaming,PSH,EMEA
Pyrsos Esports,PRS,EMEA
QG Reapers,QGR,CN
Qiao Gu Reapers,QG,CN
Qing Jiu E-sport Club,Q9,CN
QLASH,QLS,EMEA
QLASH Forge,Q4G,EMEA
QLASH Forge Academy,QFA,EMEA
QLASH MENA,QLM,INT
QLASH Midnight,QLS.M,EMEA
QLASH Spain,QLS,EMEA
QNG Team,QNG,CN
QTV Gaming,QG,VN
Quantic Gaming,QTC,NA
Quantum Vortex,QVX,EMEA
QUT Tigers,QUT,PCS
Quvic E-Sports,QVC,KR
QWER.GG,QWER,KR
R-SIXTEAM,R6T,EMEA
RA'AD,RAD,EMEA
RabbitFive,RBF,JP
Racoon,RCN,EMEA
Radiance,RAD,NA
RAGE,RAGE,NA
Raise Gaming,RG,INT
Raleigh Black Flame,RBF,NA
Ramboot Club,RBT,EMEA
Ramo Awake Gaming,AWK,LAT
Rampage,RPG,JP
Rampage Quintet,RPG Q,JP
RAMS,RAMS,EMEA
Random 5,R5,EMEA
Rare Atom,RA,CN
Rare Atom Period,RAP,CN
Rascal Jester,RJ,JP
Rascal Jester Academy,RJ.A,JP
RATE Gaming,RATE,EMEA
Ravioli Ravioli,RR,EMEA
Rayunion,RAY,CN
Razor's Edge Gaming,REG,EMEA
RBG Esports,RBG,NA
RCSC E-sport,RCSC,EMEA
RCTIC eSports,RCTIC,EMEA
Reapers Gaming,RPS,EMEA
Reason Gaming,RG,EMEA
Rebels Anarchy,RANC,KR
Rebels Gaming,RBLS,EMEA
Rebirth eSports,RBT,LAT
REC by Shadow,REC,EMEA
RED Academy,RED.A,BR
Red Arrows Team,RedA,INT
Red Bulls,RB,EMEA
RED Canids,RED,BR
Red Eye,RDY,LAT
Red Rooster Team,RRR,LAT
ReDefy Esports,RD,NA
Redemption Arc,RA,NA
Redemption eSports Porto Alegre,RDP,BR
Reformed Gaming,RG,EMEA
Regular Team,RT,LAT
Reign,RGN,EMEA
Rejects Gaming,RJX,EMEA
Relic Esports,RLC,EMEA
Reload Esports,RLD,PCS
Renegades,REN,NA
Renegades of Hell,RoH,INT
Renegades: Banditos,RNB,EMEA
Rensga Academy,RNS.A,BR
Rensga eSports,RNS,BR
Repre Gold,RPG,EMEA
Resolve,RSV,EMEA
Resolve Academy,RSV.A,EMEA
Resolve Blue,RSV.B,EMEA
Resolve NA,RSV.NA,NA
Respawn Esports,RSP,LAT
Rest In Pepperonis,REST,EMEA
Resurgence,RSG,PCS
Return of the Middlesticks,ROTM,NA
Reven Esports,RVN,LAT
Revenge,RVG,EMEA
Revenge eSports,RvG e,INT
Revenger,RVGR,CN
REViTAL Gaming,RVG,EMEA
Revival,RVL,NA
Revolt Gentlemen E-Sports Club EUNE,RGESC EUNE,EMEA
Revolt Gentlemen E-Sports Club EUW,RGESC EUW,EMEA
Rex Regalis,REX,NA
RFLX Gaming,RFLX,NA
RGA,RGA,KR
Rich Gang,RG,EMEA
Riddle Esports,RDL,EMEA
Riddle Esports Academy,RDLA,EMEA
Riddle NO,RDL,EMEA
RIFT Esports,RIFT,EMEA
Rift Rats,RR,EMEA
Rift Sloths,RIFT,EMEA
Rise Gaming Female,RISE,BR
Rising Dawn Esports,RDE,EMEA
Rising On Gaming,ONR,BR
Rising Star Gaming,RSG,KR
Rising SuperStar Gaming,RSG,KR
RisingStars Gaming,RSG,CN
River Plate Gaming,RIV,LAT
RMA e-Sports,RMA,BR
RMIT Redbacks,RMIT,PCS
RNL ROAR,ROAR,EMEA
Roar,RR,NA
Robert Morris University Illinois,RMU,NA
Robot E-Sports Team,BOT,BR
Rock Bottom Esports,ROCK,NA
Rock Solid,RS,NA
Rockhead Players,RHD,KR
RockTribeEsports,RTE,NA
ROG Esport,ROG,EMEA
Rogue,RGE,EMEA
Rogue Esports Club,REC,EMEA
Rogue Stars,RGS,EMEA
Rogue Warriors,RW,CN
Rogue Warriors Shark,RWS,CN
Romulea eSport,RML,EMEA
Roughnex,RNX,EMEA
RoX,RoX,INT
ROX COOL,ROX.A,KR
ROX Tigers,ROX,KR
Royal Bandits,RBE,EMEA
Royal Club,RYL,CN
Royal Club Tian Ci (天赐),RCTC,CN
Royal Gamers,RG,EMEA
Royal Never Give Up,RNG,CN
Royal Paladin Eclipse,RPE.E,INT
Royal Paladin eSports,RPE,INT
Royal Penguins,RP,LAT
Royal Youth,RYL,EMEA
Royal Youth Academy,RY.A,EMEA
RPG-KINGDOM,RKNG,JP
RSC Anderlecht Esports,RSCA,EMEA
RtN Gaming,RtN,INT
Ruddy Esports,RUD,EMEA
RUDE GAME e-Sports,RUDE,BR
RULE,RULE,EMEA
Rulers Esports,RLS,EMEA
RunAway,RNW,KR
RusherX Gaming,RXG,LAT
Russian Force,RF,INT
S.W.A.G.,S.W.A.G.,NA
S2N Esports Club,S2N,LAT
S2V Esports,S2V,EMEA
S2V Esports Academy,S2V.A,EMEA
S2V Esports Female,S2V.F,EMEA
Sahara Warriors,SW,INT
Saigon Buffalo,SGB,VN
Saigon Fantastic Five,SF5,PCS
Saigon Jokers,SAJ,PCS
Saigon Mongaming,SGM,PCS
Saikyo Makinyan,SKM,JP
ŠAIM SE,ŠSE,EMEA
ŠAIM SE SuppUp,SSU,EMEA
Saint Gaming,SAT,CN
Saint Louis University,SLU,NA
Salade Tomate Oignon,STO,EMEA
Salvage Javelin,SJ,JP
Samadder Gaming,SMG,NA
SAMCLAN Esports Club,SAM,EMEA
Sample Text,Sample,EMEA
Samsung Blue,SSB,KR
Samsung Galaxy,SSG,KR
Samsung Morning Stars,SMS,EMEA
Samsung White,SSW,KR
Samurai in Jeans,SAMU,EMEA
San Jose State University,SJSU,NA
Sangal Esports,SNG,EMEA
SanHe Gaming,SHG,CN
Sanhsin Gavin (三信戰鷹),SANH,PCS
Santiago Wanderers eSports,SW,LAT
Santos Dexterity,S deX,BR
Santos e-Sports,SAN,BR
Saprissa Esports,SAP,LAT
Satori,Satori,INT
Satori Red,Satori.R,INT
Savage,SVG,LAT
SBENU Korea,SBK,KR
SBTC Esports,SE,VN
SBTC Esports Academy,SEA,VN
SCARZ,SZ,JP
SCARZ Burning Core,SZBC,JP
Scorpio Game,SG,CN
Scouting4ProScene,S4PS,NA
Se Loco Cachorreira,SLC,BR
Sea Dogs,SD,NA
SEA Serpents,SS,PCS
SeaDoggos,SEAD,INT
Seagate Hope,STX.H,INT
Seattle Ferocity,SF,NA
Sector 7,S7,NA
Sector One,S1,EMEA
Sector One Academy,S1.Acad,EMEA
Sector One Black,S1B,EMEA
Sector One Fox,S1.F,EMEA
SEM9,S9,PCS
SEM9 WPE,S9W,PCS
Sengoku Gaming,SG,JP
Sengoku Gaming Academy,SG.A,JP
Senshi Esports Club,SEC,EMEA
Sentinels ESC,SNT,PCS
SeolHaeOne Prince,SP,KR
Seorabeol Gaming,SRB,KR
Seoul Neon,SLN,KR
seQura ZEST,ZEST,EMEA
Serena Five,S5,INT
Seven Wars e-Sports,7w,BR
Seven Wars Lyon,7w Lyon,INT
SGA,SGA,KR
Shadow Academy,SHA.A,KR
Shadow Anyche,SDA,KR
Shadow Battlica,SBT,KR
Shadow Battlica Y,SBY,KR
Shadow Boxing,SBX,KR
Shadow Cool,SHA.CL,KR
Shadow Corp,SHA,KR
Shadow Cream,SC,CN
Shadow Dawn,SDD,KR
Shadow Deeplol,SDP,KR
Shadow Dreamer,SD,KR
Shadow EK,SEK,KR
Shadow ELG,SELG,KR
Shadow fOu,SFOU,KR
Shadow GT,SHA.GT,KR
Shadow IBJ,SIJ,KR
Shadow LNG,SLNG,KR
Shadow New,SNEW,KR
Shadow RGS,RGS,KR
Shadow SF,SSF,KR
Shadow Zero,SZR,KR
Shadowban,SWB,EMEA
Sharks Esports Team,SHK,EMEA
SHEINOO,SN,CN
Sheng Jie Gaming,SJG,CN
Shih Hsin Meow Meow (世新喵喵),SHU,PCS
Shining Stars,SST,EMEA
Shock Gaming,Shock,BR
Shot 2 Kill,S2K,INT
ShowTime,ST,CN
Shu Dai Xiong Gaming,SDX,CN
Si Yi Xuan E-Sport,SYX,CN
Sick Ducks,6DK,PCS
Sign Us Please,SUP,NA
SILENTGAMING,SLNT,EMEA
Silver Crows,SC,INT
Silver Wolves,SW,EMEA
Simon Fraser Univeristy,SFU,NA
Simplicity Elite,SPL.E,INT
Simplicity Esports,SMP,NA
Simplicity Gaming,SPL,INT
Sin Academy,SNA,PCS
Sin Gaming,SIN,PCS
Sinelight,SL,PCS
Singapore Sentinels,SGS,PCS
Singularity Female,SNG.F,EMEA
Sinisters,SNS,LAT
SINNERS Esports,SIN,EMEA
Sinners Never Sleep,SNS,EMEA
SinoDragon Gaming,SDG,CN
SinoDragon Prince,SDP,CN
Six Karma,6K,LAT
SK Gaming,SK,EMEA
SK Gaming Avarosa,SK.A,EMEA
SK Gaming Prime,SKP,EMEA
SK Telecom T1,T1,KR
SK Telecom T1 K,SKT K,KR
SK Telecom T1 S,SKT S,KR
Skull Cracker,SKC,LAT
Sky Gaming,SGD,VN
Slash Lions,SL,INT
Slaughter House,SH,NA
SLO REJECTS,SLR,EMEA
SLR,SLR,EMEA
Smash It Down,SID,JP
Smoking Hot Candies,SHCS,PCS
Snake Esports,SS,CN
Snake Honor Esports,SHE,CN
Snake WuDu,SWD,CN
SNOGARD Dragons,SNOGARD,EMEA
Snowman Slammers,SNOW,NA
SolaFide Esports,SF,NA
SolarWind,SOL,INT
Solary,SLY,EMEA
Solary Academy,SLY.A,EMEA
Solwing Esports,sW,EMEA
Sons of Tzu Gaming,TZU,BR
Sour Savoury,SrS,EMEA
SOVEJA,SVJ,EMEA
Sovereign,SVR,PCS
Sovereign Black,SVB,PCS
Sølvkikkert Esports,SØK,EMEA
Space eSports,SPE,INT
Spain5,SP5,EMEA
Spandauer Inferno,SPIN,EMEA
Sparx Esports,SPX,EMEA
Spear Gaming,SPG,KR
Spectacled Bears,SB,LAT
SPGeSports,SPG,EMEA
Spicy Gorillas,SCG,EMEA
SPIKE Syndicate,SPK,EMEA
Spirituals,STS,LAT
Split Raiders,STR,EMEA
Splyce,SPY,EMEA
Splyce Vipers,SVP,EMEA
Sport Boys Association,SBA,LAT
Sprout,SPT,EMEA
Spy Dolphins,SD,INT
SQUARE,SQ,KR
Square Duck,SQUA,NA
Srdce nehasnou,SN,EMEA
St. Clair College,SCC,NA
Stand Point Gaming,SPG,CN
STAR,STAR,INT
Stardust,STD,KR
Starlan Gaming Club,SGC,EMEA
Starlan Gaming Club Academy,SGC.A,EMEA
Stars,Stars,EMEA
StarTale,ST,KR
State University of New York at Buffalo,UB,NA
Steelwolves Gaia,XSW,PCS
Steve Bakes Cookies,STEV,EMEA
Stone Movistar,STM,LAT
STOPWATCH eSports,STW,EMEA
Storm,STR,NA
Storm Games Clan,SGC,EMEA
Storm Teams (樹德暴風樹),STT,PCS
Stormbringers,SB,EMEA
STRAT Esport,STRAT,EMEA
STRAW,STRAW,EMEA
Striking Vipers,SV,NA
Striking Vipers Champions,SVC,NA
Striking Vipers Maestros,SVM,NA
STXP,STXP,NA
Submarines,SMR,INT
Submarino Stars,SUB,BR
Sudden Fear,SF,PCS
Summon Aery,SA,INT
Suning,SN,CN
Suning-S,SNS,CN
Suns Gos Hawk,SGH,INT
SunSister ReUnion,SSR,JP
SUPA HOT CREW,SHC,EMEA
Supay Gaming,SGM,LAT
Super Nova Academy,SN.A,NA
Super Nova Sentinels,SN.S,NA
Super Star Destroyers,SSD,VN
Super Sunshine Fruit Basket Warriors,SSFW,NA
SuperEsports (超競學院),SE,INT
SuperHype Gaming,SHG,PCS
SuperMassive Academy,SUP.A,EMEA
SuperMassive Blaze,SMB,EMEA
SuperMassive Blaze Academy,SMB.A,EMEA
SuperMassive TNG,SUP TNG,EMEA
SuperNitro1,SN1,EMEA
Supernova,SN,NA
SuperStar,SS,KR
Supremacy,SY,EMEA
Synthetic Esports,SYN,NA
Szata Maga,SM,EMEA
Szaty Bobra,SZB,EMEA
Szef+6,S6,EMEA
T Show,TSW,BR
T.Bear Gaming,TBG,CN
T1,T1,KR
T1 Academy,T1.A,KR
T1 Challengers,T1.C,KR
T3H Esports,T3H,EMEA
Taco Gaming,TG,NA
Tainted Minds,TM,PCS
Tainted Minds Blue,TM.B,PCS
Taipei Assassins,TPA,INT
Taipei Berserkers,TPB,INT
Taipei Snipers,TPS,INT
Talon Esports,TLN,PCS
Tan Chi Sa Gaming,TCS,CN
Taraji Esports,TEG,INT
Tatoo,Tatoo,KR
Taurus Esports,TAU,EMEA
TBA,TBA,NA
TCM Gaming,TCM,EMEA
TDC Esports,TDC,EMEA
Team 58ers,58ers,BR
Team 7AM,7AM,EMEA
Team 7AM Academy,7AM.A,EMEA
Team 8,T8,NA
Team Acer,ACER,EMEA
Team Acer Poland,ACER.PL,EMEA
Team Afro,AFR,INT
Team Amazigh,AMAZ,EMEA
Team Ambition,TA,NA
Team Ambition Black,TAB,NA
Team Ambition Red,TAR,NA
Team Ambition Sussy,TAS,NA
Team Amelia,AML,EMEA
Team Amibition Blaze,TAB,NA
Team ANG,ANG,INT
Team Anomaly Breaker,TAB,LAT
Team Arcade,TA,EMEA
Team Arena Online,TAO,NA
Team Ares,TAR,NA
Team Ascent,ACT,EMEA
Team Astral Poke,TAP,NA
Team Atlantis,ATL,EMEA
Team Atlantis Baltics,ATL.B,EMEA
Team AURORA,AUR,EMEA
Team AURORA Academy,AUR.A,EMEA
Team awp,AWP,BR
Team Aze,AZE,LAT
Team BattleComics,BtC,KR
Team BDS,BDS,EMEA
Team BDS Academy,BDS.A,EMEA
Team BLACK,BLACK,EMEA
Team Black,BLK,EMEA
Team BlackEye,TBE,JP
Team Bliss,TB,PCS
Team Brickz,BKZ,NA
Team Cappadocia,CAP,EMEA
Team Charon,CHRN,KR
Team Clarity,CLR,NA
Team Cloud Drake,CLD,NA
Team Coast,CST,NA
Team Coast Gold,CST Gold,EMEA
Team Confusion,CONF,NA
Team Corgi,CRG,PCS
Team Curse,CRS,NA
Team Curse Europe,CEU,EMEA
Team Curse OCE,CRS.O,PCS
Team Dark,Dark,KR
Team Death Knights,TDK,NA
Team DeftFox,DFX,EMEA
Team Differential,Diff,INT
Team Dignitas EU,DEU,EMEA
Team Dignitas OCE,d OCE,PCS
Team Dignitas UK,d UK,EMEA
Team DK,DK,CN
Team DPD,DPD,EMEA
Team Dragon Knights,TDK,NA
Team du Sud,TDS,EMEA
Team Dynamic,DYN,NA
Team Dynamics,DYN,KR
Team Dynamics Academy,DYN.A,KR
Team Dynasty,Dynasty,EMEA
Team E Turner,TET,NA
Team EasyFix Co-Hop,EFC,EMEA
Team Echo Zulu,EZ,EMEA
Team Echo Zulu Tribe,EZT,EMEA
Team Eclypse,EC,EMEA
Team Eloblade,ELOB,EMEA
Team Empire,EMP,INT
Team EnVyUs,NV,NA
Team ESCA Gaming,ESCA,EMEA
Team ESCA Gaming Female,ESCA.F,EMEA
Team Exile5,X5,PCS
Team FeaR,FR,NA
Team Fighter,TF,CN
Team Fire,Fire,INT
Team Fish Taco,TACO,NA
Team Flash,FL,PCS
Team Flux,FLUX,EMEA
Team Forge,4G,EMEA
Team Forge Academy,4GA,EMEA
Team Forge Ichnos,4GI,EMEA
Team Fracture,TF,NA
Team FragZone,FZ,EMEA
Team Front,TF,NA
Team Frostbite,TFB,NA
Team Furca,FA,EMEA
Team Fusion,FSN,NA
Team gamed!de,GDE,EMEA
Team Gates,TG,NA
Team Genesis,GEN,BR
Team Genji,Genji,EMEA
Team GO,GO,EMEA
Team GO Aurora,GOA,EMEA
TEAM GR1,GR1,EMEA
Team Green Forest,TGF,NA
Team Heretics,TH,EMEA
Team Hex,HEX,INT
Team Horizon Reapers,THR,EMEA
Team Hunters,TH,KR
Team Hurricane,TH,CN
Team Ice,Ice,INT
Team Imagine,IMG,NA
Team Immunity,IM,PCS
Team Impulse,TIP,NA
Team Infamous,IFM,EMEA
Team Infernal Drake,INF,NA
Team Infinite,IFN,PCS
Team Infused,INF,EMEA
Team Innova,i9,BR
Team Insidious,INS,EMEA
Team Just,TJ,INT
Team Just Alpha,Just A,INT
Team Just Challenger,TJ.C,INT
Team Just Ice,J.ICE,INT
Team Kamikaze,KMZ,JP
Team King,KNG,CN
Team Kinguin,TK,EMEA
Team KTHXBAI,KTHXBAI,PCS
Team KungFu,TKF,CN
Team Legion,TL,EMEA
Team Liquid,TL,NA
Team Liquid Academy,TL.A,NA
Team Liquid Challengers,TLC,NA
Team Liquid First,TLF,NA
Team Livemore,LM,CN
Team LoL Cave,TLC,INT
Team LoLPro,PRO,NA
Team Majesty,MAJ,INT
Team Manila Eagles,TME,PCS
Team Matrix,MTRX,NA
Team MCES,MCES,EMEA
Team MCES Academy,MCES.A,EMEA
Team MegashocK,TMsK,EMEA
Team Mist,TM,INT
Team Mistral,MTL,EMEA
Team MoonZone,MZ,EMEA
Team Moops,MPS,EMEA
Team Mountain Drake,MTN,NA
Team MRN,MRN,NA
Team NB,NB,KR
Team Nerotec,NTC,EMEA
Team No Limit,TnL,INT
Team NomNom,NOMN,NA
Team Nv,Nv,PCS
Team nxl,nxl,PCS
Team Occupy,OPY,INT
Team Ocean Drake,OCN,NA
Team Omniscius H,TOSH,EMEA
Team oNe eSports,ONE,BR
Team One Shot,ONE,EMEA
Team OP,OP,KR
Team Oplon,OPL,EMEA
TEAM ORANGE,TO,CN
Team Orion,ORN,INT
Team Orora,Orora,EMEA
Team Overclockers UK,OUK,EMEA
Team Ozone Cutie Monsters,OZCM,PCS
Team Paradox,TPX,EMEA
Team Pending,TBA,NA
Team Phantasma,TP,EMEA
Team Phantasma Community,TPC,EMEA
Team Phoenix,PHX,CN
Team PHZ,PHZ,EMEA
Team Pinnacle,TP,CN
Team Pique Sel,PXXL,EMEA
Team Plague,PLG,EMEA
Team Plink,TP,NA
Team Proioxis,PRS,PCS
Team Property,prOp,EMEA
Team QLASH Academy,QLS,EMEA
Team Queso,TQ,EMEA
Team Quetzal,QzL,LAT
Team Rapid,RPD,NA
Team Refuse,RFS,EMEA
Team Regicide,RGC,PCS
Team Retric,Retric,EMEA
Team Revive,Revive,EMEA
Team Rigel,Rigel,PCS
Team Riverside,TRS,EMEA
Team RM,RM,CN
Team ROCCAT,ROC,EMEA
Team ROCK,ROCK,EMEA
Team Rocket,TR,EMEA
Team SalsaLoL,TSL,EMEA
Team Same Mordeczki,TSM,EMEA
Team Sampi,SMP,EMEA
Team Secret,TS,VN
Team Server-Forge,sForge,EMEA
Team Singularity,SNG,EMEA
Team Sky,SKY,NA
Team Solo Mebdi,TSM,EMEA
Team SoloMid Evo,TSM.E,NA
Team Spirit,TSPT,INT
Team Summon,TS,NA
Team Sypher,Sypher,EMEA
Team Tempest,TMP,NA
Team Terrigen,TG,PCS
Team THRLL,TRL,EMEA
Team THRLL Academy,TRL.A,EMEA
Team Tony Top,TTT,NA
Team TowerDiveTV,TDTV,NA
Team Turquality,TT,EMEA
Team Turquality RED,TT RED,EMEA
Team Ultra Vires,TUV,EMEA
Team United,United,BR
Team UNiTY,UNY,EMEA
Team Universe,UNI,EMEA
Team Vitality,VIT,EMEA
Team Vitality Academy,VIT.A,EMEA
Team Vulcun,VUL,NA
Team W3,W3,CN
Team WE,WE,CN
Team WE Academy,WE.A,CN
Team WE Dreams,WED,CN
Team WE Future,WEF,CN
Team WeForge,WFE,EMEA
Team Whales,TW,VN
Team WinFakt,WinFakt,EMEA
Team WK,WK,INT
Team Yetti,TY,INT
Team Zan,ZAN,JP
Team Zhonyas Revolution,TZR,EMEA
Team Zoose,TZ,NA
TEAM4NOT,4N,NA
TeamHopeLess,THL,INT
Teamless,TEAM,EMEA
TeamOrangeGaming,TOG,EMEA
Tech Titans,7T,INT
Tectonic,TTC,PCS
Tectonic Academy,TTA,PCS
Tempered Fate,TF,EMEA
Tempest Gaming,TPG,NA
Tempo Storm,TS,NA
Tesla E-Sports,TeslaE,INT
Tesla Gaming,TSL,INT
Test Your Limits,TYL,EMEA
Texas A&amp;M University,TAM,NA
Texas Tech University,TTU,NA
TFK,TFK,LAT
The Agency,AGC,EMEA
The Black Lotus,TBL,INT
The Black Magic,TBM,INT
The Brunch Club,TBC,NA
The Chiefs Black,CFB,PCS
The Expendables,EXP,NA
The Final Tribe,TFT,EMEA
The Fox Sound,TFS,EMEA
The French Zoo,ZOO,EMEA
The Kings,TK,LAT
The Kings Academy,TK.A,LAT
The Kings Moon,TKM,LAT
The Largest Salary,TLS,INT
The Last Dance,TLD,NA
The Last Monk,TLM,EMEA
The League of Extraordinary Monsters,LXM,NA
The Longest Yard,TLY,NA
The Mighty Midgets,THE,EMEA
The Nameless,NE,NA
The Natives,TNT,PCS
The Northern Front,TNF,NA
The Plan,TP,EMEA
The RED,RED,INT
The Salad Bar,TSB,NA
The Spawn Esports,SPN,EMEA
The Tower,TT,EMEA
The Walking Zed,TWZ,NA
Third Party,3P,NA
Thirsty Chinchillas,TCH,PCS
Thunder Awaken,TA,LAT
ThunderBot SPARTA,TBS,EMEA
Thunderclouds E-Sports,TC,INT
ThunderFlash,TF,EMEA
ThunderoBot Gaming,TRG,CN
ThunderTalk Gaming,TT,CN
ThunderTalk Gaming Young,TT.Y,CN
ThunderX3 Baskonia,BKN,EMEA
THUNDR Esports,TDR,EMEA
Tick Trick and Duck,TTD,EMEA
Tigris eSports,TIG,EMEA
Tiktok Tony Top,TONY,NA
Till Dawn,TDW,PCS
Timeout Esports,TO,EMEA
Timeout Esports Academy,TO.A,EMEA
Tindastóll,TND,EMEA
Titan Catipay,TC,CN
TITANS ESPORTS,TITANS,INT
Titans Gaming Center,TGC,INT
TKA E-Sports,TKA,EMEA
TM Gaming,tM,PCS
