,,,,,,,,,,,,,,,,,,,,,EXPECTED,,,,,,,,,,,,,,ACTUAL,,,,,,,,,,,,,
,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year,Region_T1,Team_T1,Region_code_T1,Region_T2,Team_T2,Region_code_T2,Region_Win,Team_Win,Region_code_Win,Blue/Red,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH,G2,FNC,MAD,RGE,VIT,MSF,SK,XL,S04,OG,AST,BDS,SPY,TH
16950,LEC 2019 Spring,LEC,23/02/2019 18:50,39:07:00,Rogue (European Team),Splyce,0,1,Splyce,2019,Europe,RGE,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16953,LEC 2019 Spring,LEC,23/02/2019 19:55,41:40:00,Fnatic,Team Vitality,1,0,Fnatic,2019,EMEA,FNC,EMEA,EMEA,VIT,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17054,LEC 2019 Spring,LEC,01/03/2019 16:29,33:29:00,Origen,Splyce,1,0,Origen,2019,Europe,OG,EMEA,Europe,SPY,EMEA,Europe,OG,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17055,LEC 2019 Spring,LEC,01/03/2019 17:44,30:00:00,SK Gaming,Excel Esports,0,1,Excel Esports,2019,EMEA,SK,EMEA,EMEA,XL,EMEA,EMEA,XL,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17056,LEC 2019 Spring,LEC,01/03/2019 18:40,32:13:00,Team Vitality,Misfits Gaming,1,0,Team Vitality,2019,EMEA,VIT,EMEA,Europe,MSF,EMEA,EMEA,VIT,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17057,LEC 2019 Spring,LEC,01/03/2019 19:59,27:27:00,G2 Esports,Rogue (European Team),1,0,G2 Esports,2019,EMEA,G2,EMEA,Europe,RGE,EMEA,EMEA,G2,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17058,LEC 2019 Spring,LEC,01/03/2019 21:03,30:28:00,Fnatic,FC Schalke 04 Esports,1,0,Fnatic,2019,EMEA,FNC,EMEA,EMEA,S04,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,LEC 2019 Spring,LEC,02/03/2019 15:18,33:16:00,G2 Esports,SK Gaming,0,1,SK Gaming,2019,EMEA,G2,EMEA,EMEA,SK,EMEA,EMEA,SK,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17098,LEC 2019 Spring,LEC,02/03/2019 16:42,26:55:00,FC Schalke 04 Esports,Splyce,0,1,Splyce,2019,EMEA,S04,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17100,LEC 2019 Spring,LEC,02/03/2019 17:36,30:55:00,Fnatic,Rogue (European Team),1,0,Fnatic,2019,EMEA,FNC,EMEA,Europe,RGE,EMEA,EMEA,FNC,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17102,LEC 2019 Spring,LEC,02/03/2019 18:35,40:40:00,Misfits Gaming,Excel Esports,1,0,Misfits Gaming,2019,Europe,MSF,EMEA,EMEA,XL,EMEA,Europe,MSF,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17103,LEC 2019 Spring,LEC,02/03/2019 19:40,34:30:00,Origen,Team Vitality,1,0,Origen,2019,Europe,OG,EMEA,EMEA,VIT,EMEA,Europe,OG,EMEA,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17210,LEC 2019 Spring,LEC,08/03/2019 16:19,41:45:00,G2 Esports,Splyce,0,1,Splyce,2019,EMEA,G2,EMEA,Europe,SPY,EMEA,Europe,SPY,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17212,LEC 2019 Spring,LEC,08/03/2019 17:52,42:10:00,FC Schalke 04 Esports,Excel Esports,0,1,Excel Esports,2019,EMEA,S04,EMEA,EMEA,XL,EMEA,EMEA,XL,EMEA,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,
