,Tournament,League,Date,Gamelength,Team1,Team2,Team1Score,Team2Score,WinTeam,Year
23563,TCL 2015 Summer,TCL,2015-07-05 11:00:00,56:14,Team Turquality,Oyun Hizmetleri,1,0,Team Turquality,2015
9233,LPL 2015 Summer,LPL,2015-07-05 11:00:00,43:41,Qiao Gu Reapers,Vici Gaming,1,0,Qiao Gu Reapers,2015
23564,TCL 2015 Summer,TCL,2015-07-05 12:00:00,34:52,NumberOne Esports,Dark Passage,0,1,Dark Passage,2015
9234,LPL 2015 Summer,LPL,2015-07-05 12:00:00,34:06,Vici Gaming,Qiao Gu Reapers,0,2,Qiao Gu Reapers,2015
25656,LMS 2015 Summer,LMS,2015-07-05 12:11:00,35:38,Midnight Sun Esports,Assassin Sniper,1,1,Midnight Sun Esports,2015
23565,TCL 2015 Summer,TCL,2015-07-05 13:00:00,32:31,Crew e-Sports Club,ATLAS eSports Team,0,1,ATLAS eSports Team,2015
14716,CBLOL 2015 Split 2,CBLOL,2015-07-05 13:00:00,39:16,paiN Gaming,Keyd Stars,1,1,Keyd Stars,2015
25657,LMS 2015 Summer,LMS,2015-07-05 13:14:00,34:17,ahq eSports Club,Logitech G Snipers,1,0,ahq eSports Club,2015
23566,TCL 2015 Summer,TCL,2015-07-05 14:00:00,45:29,Beşiktaş Esports,HWA Gaming,0,1,HWA Gaming,2015
25658,LMS 2015 Summer,LMS,2015-07-05 14:24:00,30:35,Logitech G Snipers,ahq eSports Club,0,2,ahq eSports Club,2015
14717,CBLOL 2015 Split 2,CBLOL,2015-07-05 17:00:00,37:12,KaBuM! Orange,INTZ Red,1,1,INTZ Red,2015
14718,CBLOL 2015 Split 2,CBLOL,2015-07-05 18:00:00,51:09,Keyd Stars,paiN Gaming,0,1,paiN Gaming,2015
27804,NA LCS 2015 Summer,NA LCS,2015-07-05 18:38:00,42:44,Enemy,Team Dragon Knights,1,0,Enemy,2015
27805,NA LCS 2015 Summer,NA LCS,2015-07-05 20:01:00,39:02,Counter Logic Gaming,Team Impulse,0,1,Team Impulse,2015
27806,NA LCS 2015 Summer,NA LCS,2015-07-05 21:01:00,40:00,TSM,Gravity (North American Team),0,1,Gravity (North American Team),2015
27807,NA LCS 2015 Summer,NA LCS,2015-07-05 22:06:00,28:02,Dignitas,Team Liquid,0,1,Team Liquid,2015
27808,NA LCS 2015 Summer,NA LCS,2015-07-05 23:00:00,39:38,Team 8,Cloud9,1,0,Team 8,2015
19572,OPL 2015 Split 2,OPL,2015-07-06 07:52:00,35:36,Dire Wolves,Absolute (Oceanic Team),1,0,Dire Wolves,2015
19573,OPL 2015 Split 2,OPL,2015-07-06 08:51:00,37:47,Chiefs Esports Club,Sin Gaming,1,0,Chiefs Esports Club,2015
19574,OPL 2015 Split 2,OPL,2015-07-06 10:16:00,29:34,Legacy Esports,Sudden Fear,1,0,Legacy Esports,2015
19575,OPL 2015 Split 2,OPL,2015-07-06 10:51:00,34:34,Team Immunity,Avant Garde,0,1,Avant Garde,2015
31867,LAS 2015 Closing Cup Playoffs,CLS,2015-07-06 22:00:00,45:45,Kaos Latin Gamers,Rebirth eSports,0,1,Rebirth eSports,2015
31868,LAS 2015 Closing Cup Playoffs,CLS,2015-07-06 23:00:00,39:17,Rebirth eSports,Kaos Latin Gamers,1,1,Kaos Latin Gamers,2015
31869,LAS 2015 Closing Cup Playoffs,CLS,2015-07-07 00:00:00,32:48,Kaos Latin Gamers,Rebirth eSports,2,1,Kaos Latin Gamers,2015
31870,LAS 2015 Closing Cup Playoffs,CLS,2015-07-07 01:00:00,32:55,Rebirth eSports,Kaos Latin Gamers,1,3,Kaos Latin Gamers,2015
25659,LMS 2015 Summer,LMS,2015-07-08 10:55:00,29:58,Machi Esports,Taipei Assassins,0,1,Taipei Assassins,2015
460,GPL 2015 Summer,GPL,2015-07-08 11:00:00,26:43,Wargods,Asus ImbaFate,0,1,Asus ImbaFate,2015
25660,LMS 2015 Summer,LMS,2015-07-08 11:54:00,24:33,Taipei Assassins,Machi Esports,1,1,Machi Esports,2015
461,GPL 2015 Summer,GPL,2015-07-08 12:00:00,44:56,Asus ImbaFate,Wargods,2,0,Asus ImbaFate,2015
25661,LMS 2015 Summer,LMS,2015-07-08 12:38:00,35:20,ahq eSports Club,Flash Wolves,1,0,ahq eSports Club,2015
462,GPL 2015 Summer,GPL,2015-07-08 13:00:00,27:11,Saigon Fantastic Five,Imperium Pro Team,1,0,Saigon Fantastic Five,2015
25662,LMS 2015 Summer,LMS,2015-07-08 13:56:00,47:48,Flash Wolves,ahq eSports Club,0,2,ahq eSports Club,2015
31871,LAS 2015 Closing Cup Playoffs,CLS,2015-07-08 22:00:00,42:43,Furious Gaming,Last Kings,0,1,Last Kings,2015
31872,LAS 2015 Closing Cup Playoffs,CLS,2015-07-08 23:00:00,44:02,Last Kings,Furious Gaming,1,1,Furious Gaming,2015
31873,LAS 2015 Closing Cup Playoffs,CLS,2015-07-09 00:00:00,43:12,Furious Gaming,Last Kings,2,1,Furious Gaming,2015
31874,LAS 2015 Closing Cup Playoffs,CLS,2015-07-09 01:00:00,52:07,Last Kings,Furious Gaming,2,2,Last Kings,2015
31875,LAS 2015 Closing Cup Playoffs,CLS,2015-07-09 02:00:00,28:57,Furious Gaming,Last Kings,3,2,Furious Gaming,2015
19576,OPL 2015 Split 2,OPL,2015-07-09 07:40:00,38:10,Avant Garde,Sudden Fear,1,0,Avant Garde,2015
19577,OPL 2015 Split 2,OPL,2015-07-09 08:55:00,39:58,Team Immunity,Legacy Esports,0,1,Legacy Esports,2015
19578,OPL 2015 Split 2,OPL,2015-07-09 10:03:00,28:28,Chiefs Esports Club,Absolute (Oceanic Team),1,0,Chiefs Esports Club,2015
25663,LMS 2015 Summer,LMS,2015-07-09 10:35:00,38:25,Hong Kong Esports,Midnight Sun Esports,0,1,Midnight Sun Esports,2015
19579,OPL 2015 Split 2,OPL,2015-07-09 10:52:00,38:09,Sin Gaming,Dire Wolves,0,1,Dire Wolves,2015
463,GPL 2015 Summer,GPL,2015-07-09 11:00:00,24:20,Mineski,Boba Marines,0,1,Boba Marines,2015
19580,OPL 2015 Split 2,OPL,2015-07-09 11:51:00,30:45,Absolute (Oceanic Team),Sin Gaming,0,1,Sin Gaming,2015
464,GPL 2015 Summer,GPL,2015-07-09 12:00:00,34:18,Boba Marines,Mineski,2,0,Boba Marines,2015
25664,LMS 2015 Summer,LMS,2015-07-09 12:16:00,40:56,Midnight Sun Esports,Hong Kong Esports,1,1,Hong Kong Esports,2015
465,GPL 2015 Summer,GPL,2015-07-09 13:00:00,36:33,Bangkok Titans,Go To Sleep,1,0,Bangkok Titans,2015
25665,LMS 2015 Summer,LMS,2015-07-09 13:33:00,34:59,Assassin Sniper,Logitech G Snipers,0,1,Logitech G Snipers,2015
467,GPL 2015 Summer,GPL,2015-07-09 14:00:00,37:58,Imperium Pro Team,Saigon Fantastic Five,1,1,Imperium Pro Team,2015
466,GPL 2015 Summer,GPL,2015-07-09 14:00:00,21:37,Go To Sleep,Bangkok Titans,0,2,Bangkok Titans,2015
25666,LMS 2015 Summer,LMS,2015-07-09 14:28:00,44:27,Logitech G Snipers,Assassin Sniper,2,0,Logitech G Snipers,2015
29911,EU LCS 2015 Summer,EU LCS,2015-07-09 15:52:00,37:19,Copenhagen Wolves,Unicorns of Love,0,1,Unicorns of Love,2015
29912,EU LCS 2015 Summer,EU LCS,2015-07-09 16:59:00,43:31,Team ROCCAT,Elements,0,1,Elements,2015
29913,EU LCS 2015 Summer,EU LCS,2015-07-09 18:10:00,28:05,Origen,Giants Gaming,1,0,Origen,2015
29914,EU LCS 2015 Summer,EU LCS,2015-07-09 19:03:00,37:14,H2k-Gaming,Fnatic,0,1,Fnatic,2015
29915,EU LCS 2015 Summer,EU LCS,2015-07-09 20:02:00,29:34,SK Gaming,Gambit Gaming,0,1,Gambit Gaming,2015
469,GPL 2015 Summer,GPL,2015-07-10 11:00:00,33:56,ZOTAC United,Thirsty Chinchillas,1,0,ZOTAC United,2015
468,GPL 2015 Summer,GPL,2015-07-10 11:00:00,31:51,Jakarta Juggernauts,Saigon Jokers,0,1,Saigon Jokers,2015
471,GPL 2015 Summer,GPL,2015-07-10 12:00:00,33:27,Thirsty Chinchillas,ZOTAC United,1,1,Thirsty Chinchillas,2015
470,GPL 2015 Summer,GPL,2015-07-10 12:00:00,28:11,Saigon Jokers,Jakarta Juggernauts,2,0,Saigon Jokers,2015
472,GPL 2015 Summer,GPL,2015-07-10 14:00:00,35:43,Thirsty Chinchillas,ZOTAC United,0,1,ZOTAC United,2015
29916,EU LCS 2015 Summer,EU LCS,2015-07-10 15:50:00,39:28,Team ROCCAT,H2k-Gaming,1,0,Team ROCCAT,2015
29917,EU LCS 2015 Summer,EU LCS,2015-07-10 17:00:00,40:53,Gambit Gaming,Giants Gaming,0,1,Giants Gaming,2015
29918,EU LCS 2015 Summer,EU LCS,2015-07-10 18:06:00,37:35,Unicorns of Love,Elements,1,0,Unicorns of Love,2015
29919,EU LCS 2015 Summer,EU LCS,2015-07-10 19:10:00,39:31,Fnatic,Origen,1,0,Fnatic,2015
29920,EU LCS 2015 Summer,EU LCS,2015-07-10 20:15:00,28:47,SK Gaming,Copenhagen Wolves,1,0,SK Gaming,2015
17209,LJL 2015 Season 2,LJL,2015-07-11 09:00:00,42:11,DetonatioN FocusMe,Ozone Rampage,0,1,Ozone Rampage,2015
17210,LJL 2015 Season 2,LJL,2015-07-11 10:00:00,39:40,Rascal Jester,7th heaven,0,1,7th heaven,2015
17211,LJL 2015 Season 2,LJL,2015-07-11 11:00:00,37:32,RabbitFive,ApeX R Gaming,1,0,RabbitFive,2015
23567,TCL 2015 Summer,TCL,2015-07-11 11:00:00,32:07,Crew e-Sports Club,HWA Gaming,0,1,HWA Gaming,2015
23568,TCL 2015 Summer,TCL,2015-07-11 12:00:00,33:08,Beşiktaş Esports,NumberOne Esports,1,0,Beşiktaş Esports,2015
23569,TCL 2015 Summer,TCL,2015-07-11 13:00:00,28:45,ATLAS eSports Team,Team Turquality,0,1,Team Turquality,2015
23570,TCL 2015 Summer,TCL,2015-07-11 14:00:00,34:25,Dark Passage,Oyun Hizmetleri,1,0,Dark Passage,2015
14719,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-11 16:00:00,28:13,CNB e-Sports Club,g3nerationX,1,0,CNB e-Sports Club,2015
14720,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-11 17:00:00,42:19,g3nerationX,CNB e-Sports Club,1,1,g3nerationX,2015
14721,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-11 18:00:00,38:48,CNB e-Sports Club,g3nerationX,1,2,g3nerationX,2015
27809,NA LCS 2015 Summer,NA LCS,2015-07-11 18:53:00,42:04,Team Liquid,Team Dragon Knights,1,0,Team Liquid,2015
14722,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-11 19:00:00,37:14,paiN Gaming,INTZ Red,1,0,paiN Gaming,2015
14723,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-11 20:00:00,32:32,INTZ Red,paiN Gaming,0,2,paiN Gaming,2015
27810,NA LCS 2015 Summer,NA LCS,2015-07-11 20:04:00,28:28,Enemy,Counter Logic Gaming,0,1,Counter Logic Gaming,2015
27811,NA LCS 2015 Summer,NA LCS,2015-07-11 20:48:00,39:47,Gravity (North American Team),Cloud9,1,0,Gravity (North American Team),2015
27812,NA LCS 2015 Summer,NA LCS,2015-07-11 21:50:00,39:35,Team 8,TSM,1,0,Team 8,2015
27813,NA LCS 2015 Summer,NA LCS,2015-07-11 22:53:00,33:12,Team Impulse,Dignitas,1,0,Team Impulse,2015
25667,LMS 2015 Summer,LMS,2015-07-12 03:58:00,43:01,ahq eSports Club,Taipei Assassins,0,1,Taipei Assassins,2015
25668,LMS 2015 Summer,LMS,2015-07-12 05:03:00,49:23,Taipei Assassins,ahq eSports Club,1,1,ahq eSports Club,2015
25669,LMS 2015 Summer,LMS,2015-07-12 06:23:00,35:00,Machi Esports,Flash Wolves,0,1,Flash Wolves,2015
25670,LMS 2015 Summer,LMS,2015-07-12 07:32:00,51:17,Flash Wolves,Machi Esports,2,0,Flash Wolves,2015
23571,TCL 2015 Summer,TCL,2015-07-12 11:00:00,24:15,HWA Gaming,ATLAS eSports Team,1,0,HWA Gaming,2015
23572,TCL 2015 Summer,TCL,2015-07-12 12:00:00,29:26,Dark Passage,Team Turquality,1,0,Dark Passage,2015
23573,TCL 2015 Summer,TCL,2015-07-12 13:00:00,28:34,NumberOne Esports,Crew e-Sports Club,1,0,NumberOne Esports,2015
23574,TCL 2015 Summer,TCL,2015-07-12 14:00:00,34:01,Oyun Hizmetleri,Beşiktaş Esports,0,1,Beşiktaş Esports,2015
14724,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-12 16:00:00,51:17,CNB e-Sports Club,INTZ Red,1,0,CNB e-Sports Club,2015
14725,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-12 17:00:00,41:34,INTZ Red,CNB e-Sports Club,1,1,INTZ Red,2015
14726,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-12 18:00:00,40:11,CNB e-Sports Club,INTZ Red,2,1,CNB e-Sports Club,2015
27814,NA LCS 2015 Summer,NA LCS,2015-07-12 18:57:00,38:03,Enemy,Gravity (North American Team),0,1,Gravity (North American Team),2015
27815,NA LCS 2015 Summer,NA LCS,2015-07-12 19:54:00,24:43,Cloud9,Dignitas,1,0,Cloud9,2015
27816,NA LCS 2015 Summer,NA LCS,2015-07-12 20:39:00,44:34,TSM,Team Liquid,0,1,Team Liquid,2015
27817,NA LCS 2015 Summer,NA LCS,2015-07-12 22:01:00,39:33,Team Impulse,Team 8,1,0,Team Impulse,2015
27818,NA LCS 2015 Summer,NA LCS,2015-07-12 23:03:00,40:05,Counter Logic Gaming,Team Dragon Knights,1,0,Counter Logic Gaming,2015
31876,LAS 2015 Closing Cup Playoffs,CLS,2015-07-13 22:00:00,35:01,Last Kings,Rebirth eSports,1,0,Last Kings,2015
31877,LAS 2015 Closing Cup Playoffs,CLS,2015-07-13 23:00:00,33:58,Rebirth eSports,Last Kings,1,1,Rebirth eSports,2015
31878,LAS 2015 Closing Cup Playoffs,CLS,2015-07-14 00:00:00,37:13,Last Kings,Rebirth eSports,1,2,Rebirth eSports,2015
474,GPL 2015 Summer,GPL,2015-07-15 11:00:00,27:30,Mineski,Bangkok Titans,0,1,Bangkok Titans,2015
473,GPL 2015 Summer,GPL,2015-07-15 11:00:00,26:01,Boba Marines,Go To Sleep,1,0,Boba Marines,2015
475,GPL 2015 Summer,GPL,2015-07-15 12:00:00,22:42,Go To Sleep,Boba Marines,0,2,Boba Marines,2015
476,GPL 2015 Summer,GPL,2015-07-15 12:00:00,27:00,Bangkok Titans,Mineski,2,0,Bangkok Titans,2015
31879,LAS 2015 Closing Cup Playoffs,CLS,2015-07-15 22:00:00,41:47,Kaos Latin Gamers,Furious Gaming,1,0,Kaos Latin Gamers,2015
31880,LAS 2015 Closing Cup Playoffs,CLS,2015-07-15 23:00:00,32:03,Furious Gaming,Kaos Latin Gamers,0,2,Kaos Latin Gamers,2015
31881,LAS 2015 Closing Cup Playoffs,CLS,2015-07-16 00:00:00,47:52,Kaos Latin Gamers,Furious Gaming,3,0,Kaos Latin Gamers,2015
477,GPL 2015 Summer,GPL,2015-07-16 11:00:00,26:55,Full Louis,Kuala Lumpur Hunters,0,1,Kuala Lumpur Hunters,2015
478,GPL 2015 Summer,GPL,2015-07-16 11:00:00,47:43,Team Proioxis,Impunity Legends,0,1,Impunity Legends,2015
479,GPL 2015 Summer,GPL,2015-07-16 12:00:00,28:52,Impunity Legends,Team Proioxis,2,0,Impunity Legends,2015
480,GPL 2015 Summer,GPL,2015-07-16 12:00:00,41:28,Kuala Lumpur Hunters,Full Louis,1,1,Full Louis,2015
29921,EU LCS 2015 Summer,EU LCS,2015-07-16 15:41:00,32:55,Giants Gaming,H2k-Gaming,0,1,H2k-Gaming,2015
29922,EU LCS 2015 Summer,EU LCS,2015-07-16 16:54:00,39:29,Copenhagen Wolves,Elements,0,1,Elements,2015
9235,LPL 2015 Summer,LPL,2015-07-16 17:00:00,33:30,Royal Never Give Up,Unlimited Potential,1,1,Royal Never Give Up,2015
9236,LPL 2015 Summer,LPL,2015-07-16 17:00:00,41:32,Unlimited Potential,Royal Never Give Up,1,0,Unlimited Potential,2015
29923,EU LCS 2015 Summer,EU LCS,2015-07-16 17:56:00,25:02,Unicorns of Love,SK Gaming,0,1,SK Gaming,2015
29924,EU LCS 2015 Summer,EU LCS,2015-07-16 18:45:00,39:36,Gambit Gaming,Origen,1,0,Gambit Gaming,2015
9238,LPL 2015 Summer,LPL,2015-07-16 19:00:00,40:59,Vici Gaming,Invictus Gaming,1,0,Vici Gaming,2015
9237,LPL 2015 Summer,LPL,2015-07-16 19:00:00,26:36,Invictus Gaming,Vici Gaming,1,1,Invictus Gaming,2015
29925,EU LCS 2015 Summer,EU LCS,2015-07-16 19:46:00,36:23,Team ROCCAT,Fnatic,0,1,Fnatic,2015
9239,LPL 2015 Summer,LPL,2015-07-16 21:00:00,28:53,Team King,Qiao Gu Reapers,1,1,Qiao Gu Reapers,2015
9240,LPL 2015 Summer,LPL,2015-07-16 21:00:00,43:49,Qiao Gu Reapers,Team King,0,1,Team King,2015
9241,LPL 2015 Summer,LPL,2015-07-16 23:00:00,30:10,EDward Gaming,LGD Gaming,2,0,EDward Gaming,2015
9242,LPL 2015 Summer,LPL,2015-07-16 23:00:00,34:10,LGD Gaming,EDward Gaming,0,1,EDward Gaming,2015
482,GPL 2015 Summer,GPL,2015-07-17 11:00:00,33:34,Wargods,Saigon Fantastic Five,1,0,Wargods,2015
481,GPL 2015 Summer,GPL,2015-07-17 11:00:00,24:54,Asus ImbaFate,Imperium Pro Team,1,0,Asus ImbaFate,2015
484,GPL 2015 Summer,GPL,2015-07-17 12:00:00,47:03,Saigon Fantastic Five,Wargods,1,1,Saigon Fantastic Five,2015
483,GPL 2015 Summer,GPL,2015-07-17 12:00:00,31:52,Imperium Pro Team,Asus ImbaFate,0,2,Asus ImbaFate,2015
29926,EU LCS 2015 Summer,EU LCS,2015-07-17 15:39:00,46:44,Giants Gaming,Team ROCCAT,0,1,Team ROCCAT,2015
9244,LPL 2015 Summer,LPL,2015-07-17 17:00:00,42:03,Unlimited Potential,Qiao Gu Reapers,0,1,Qiao Gu Reapers,2015
9243,LPL 2015 Summer,LPL,2015-07-17 17:00:00,32:03,Qiao Gu Reapers,Unlimited Potential,2,0,Qiao Gu Reapers,2015
29927,EU LCS 2015 Summer,EU LCS,2015-07-17 17:08:00,48:26,H2k-Gaming,Copenhagen Wolves,0,1,Copenhagen Wolves,2015
29928,EU LCS 2015 Summer,EU LCS,2015-07-17 18:16:00,40:38,Origen,SK Gaming,1,0,Origen,2015
9246,LPL 2015 Summer,LPL,2015-07-17 19:00:00,31:32,Oh My God,Masters 3,1,0,Oh My God,2015
9245,LPL 2015 Summer,LPL,2015-07-17 19:00:00,25:57,Masters 3,Oh My God,0,2,Oh My God,2015
29929,EU LCS 2015 Summer,EU LCS,2015-07-17 19:23:00,34:06,Elements,Fnatic,0,1,Fnatic,2015
29930,EU LCS 2015 Summer,EU LCS,2015-07-17 20:23:00,31:53,Unicorns of Love,Gambit Gaming,1,0,Unicorns of Love,2015
9248,LPL 2015 Summer,LPL,2015-07-17 21:00:00,48:02,Snake Esports,LGD Gaming,1,0,Snake Esports,2015
9247,LPL 2015 Summer,LPL,2015-07-17 21:00:00,27:42,LGD Gaming,Snake Esports,1,1,LGD Gaming,2015
9250,LPL 2015 Summer,LPL,2015-07-17 23:00:00,43:39,Invictus Gaming,EDward Gaming,0,1,EDward Gaming,2015
9249,LPL 2015 Summer,LPL,2015-07-17 23:00:00,40:00,EDward Gaming,Invictus Gaming,2,0,EDward Gaming,2015
17212,LJL 2015 Season 2,LJL,2015-07-18 09:00:00,36:09,DetonatioN FocusMe,7th heaven,0,1,7th heaven,2015
17213,LJL 2015 Season 2,LJL,2015-07-18 10:00:00,38:27,7th heaven,DetonatioN FocusMe,1,1,DetonatioN FocusMe,2015
17214,LJL 2015 Season 2,LJL,2015-07-18 11:00:00,35:26,DetonatioN FocusMe,7th heaven,1,2,7th heaven,2015
17215,LJL 2015 Season 2,LJL,2015-07-18 12:00:00,51:02,7th heaven,DetonatioN FocusMe,2,2,DetonatioN FocusMe,2015
17216,LJL 2015 Season 2,LJL,2015-07-18 13:00:00,30:27,DetonatioN FocusMe,7th heaven,3,2,DetonatioN FocusMe,2015
14727,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-18 16:00:00,28:58,g3nerationX,INTZ,0,1,INTZ,2015
9252,LPL 2015 Summer,LPL,2015-07-18 17:00:00,37:06,Royal Never Give Up,Team King,1,1,Royal Never Give Up,2015
14728,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-18 17:00:00,40:00,INTZ,g3nerationX,2,0,INTZ,2015
9251,LPL 2015 Summer,LPL,2015-07-18 17:00:00,33:24,Team King,Royal Never Give Up,1,0,Team King,2015
14729,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-18 18:00:00,32:07,g3nerationX,INTZ,1,2,g3nerationX,2015
27819,NA LCS 2015 Summer,NA LCS,2015-07-18 19:00:00,28:36,Cloud9,Enemy,1,0,Cloud9,2015
14730,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-18 19:00:00,36:59,INTZ,g3nerationX,3,1,INTZ,2015
9253,LPL 2015 Summer,LPL,2015-07-18 19:00:00,31:23,Invictus Gaming,Unlimited Potential,1,1,Invictus Gaming,2015
9254,LPL 2015 Summer,LPL,2015-07-18 19:00:00,34:16,Unlimited Potential,Invictus Gaming,1,0,Unlimited Potential,2015
27820,NA LCS 2015 Summer,NA LCS,2015-07-18 19:44:00,39:07,Team Impulse,TSM,1,0,Team Impulse,2015
27821,NA LCS 2015 Summer,NA LCS,2015-07-18 20:52:00,37:37,Counter Logic Gaming,Team Liquid,1,0,Counter Logic Gaming,2015
9255,LPL 2015 Summer,LPL,2015-07-18 21:00:00,28:00,LGD Gaming,Masters 3,2,0,LGD Gaming,2015
9256,LPL 2015 Summer,LPL,2015-07-18 21:00:00,39:49,Masters 3,LGD Gaming,0,1,LGD Gaming,2015
27822,NA LCS 2015 Summer,NA LCS,2015-07-18 21:54:00,56:32,Gravity (North American Team),Dignitas,0,1,Dignitas,2015
9257,LPL 2015 Summer,LPL,2015-07-18 23:00:00,26:38,Snake Esports,Oh My God,1,0,Snake Esports,2015
9258,LPL 2015 Summer,LPL,2015-07-18 23:00:00,38:35,Oh My God,Snake Esports,0,2,Snake Esports,2015
27823,NA LCS 2015 Summer,NA LCS,2015-07-18 23:15:00,51:03,Team Dragon Knights,Team 8,0,1,Team 8,2015
14731,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-19 16:00:00,38:19,paiN Gaming,Keyd Stars,1,0,paiN Gaming,2015
14732,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-19 17:00:00,45:30,Keyd Stars,paiN Gaming,0,2,paiN Gaming,2015
14733,CBLOL 2015 Split 2 Playoffs,CBLOL,2015-07-19 18:00:00,37:31,paiN Gaming,Keyd Stars,3,0,paiN Gaming,2015
27824,NA LCS 2015 Summer,NA LCS,2015-07-19 19:00:00,26:09,Team Liquid,Enemy,1,0,Team Liquid,2015
27825,NA LCS 2015 Summer,NA LCS,2015-07-19 19:59:00,50:41,Cloud9,Counter Logic Gaming,0,1,Counter Logic Gaming,2015
27826,NA LCS 2015 Summer,NA LCS,2015-07-19 20:57:00,35:22,Dignitas,TSM,0,1,TSM,2015
27827,NA LCS 2015 Summer,NA LCS,2015-07-19 21:54:00,36:06,Team Dragon Knights,Team Impulse,0,1,Team Impulse,2015
27828,NA LCS 2015 Summer,NA LCS,2015-07-19 22:52:00,48:13,Team 8,Gravity (North American Team),0,1,Gravity (North American Team),2015
19581,OPL 2015 Split 2 Playoffs,OPL,2015-07-20 07:50:00,34:56,Avant Garde,Chiefs Esports Club,0,1,Chiefs Esports Club,2015
19582,OPL 2015 Split 2 Playoffs,OPL,2015-07-20 08:55:00,30:01,Chiefs Esports Club,Avant Garde,2,0,Chiefs Esports Club,2015
19583,OPL 2015 Split 2 Playoffs,OPL,2015-07-20 09:45:00,54:25,Avant Garde,Chiefs Esports Club,0,3,Chiefs Esports Club,2015
19584,OPL 2015 Split 2 Playoffs,OPL,2015-07-23 07:50:00,36:29,Dire Wolves,Legacy Esports,0,1,Legacy Esports,2015
19585,OPL 2015 Split 2 Playoffs,OPL,2015-07-23 08:58:00,25:54,Legacy Esports,Dire Wolves,2,0,Legacy Esports,2015
19586,OPL 2015 Split 2 Playoffs,OPL,2015-07-23 09:46:00,37:08,Dire Wolves,Legacy Esports,1,2,Dire Wolves,2015
19587,OPL 2015 Split 2 Playoffs,OPL,2015-07-23 10:37:00,28:53,Legacy Esports,Dire Wolves,3,1,Legacy Esports,2015
29931,EU LCS 2015 Summer,EU LCS,2015-07-23 15:54:00,41:34,Copenhagen Wolves,Team ROCCAT,1,0,Copenhagen Wolves,2015
9260,LPL 2015 Summer,LPL,2015-07-23 17:00:00,41:17,Qiao Gu Reapers,Masters 3,1,0,Qiao Gu Reapers,2015
9259,LPL 2015 Summer,LPL,2015-07-23 17:00:00,34:50,Masters 3,Qiao Gu Reapers,1,1,Masters 3,2015
29932,EU LCS 2015 Summer,EU LCS,2015-07-23 17:02:00,41:49,Giants Gaming,Unicorns of Love,0,1,Unicorns of Love,2015
29933,EU LCS 2015 Summer,EU LCS,2015-07-23 18:09:00,29:52,SK Gaming,Fnatic,0,1,Fnatic,2015
9262,LPL 2015 Summer,LPL,2015-07-23 19:00:00,46:33,Team King,Vici Gaming,0,1,Vici Gaming,2015
9261,LPL 2015 Summer,LPL,2015-07-23 19:00:00,38:40,Vici Gaming,Team King,2,0,Vici Gaming,2015
29934,EU LCS 2015 Summer,EU LCS,2015-07-23 19:05:00,43:36,H2k-Gaming,Origen,0,1,Origen,2015
29935,EU LCS 2015 Summer,EU LCS,2015-07-23 20:13:00,63:15,Elements,Gambit Gaming,1,0,Elements,2015
9263,LPL 2015 Summer,LPL,2015-07-23 21:00:00,23:10,EDward Gaming,Royal Never Give Up,2,0,EDward Gaming,2015
9264,LPL 2015 Summer,LPL,2015-07-23 21:00:00,42:15,Royal Never Give Up,EDward Gaming,0,1,EDward Gaming,2015
9265,LPL 2015 Summer,LPL,2015-07-23 23:00:00,26:26,Oh My God,Team WE,1,0,Oh My God,2015
9266,LPL 2015 Summer,LPL,2015-07-23 23:00:00,30:27,Team WE,Oh My God,1,1,Team WE,2015
25671,LMS 2015 Summer Playoffs,LMS,2015-07-24 08:58:00,38:28,Midnight Sun Esports,Hong Kong Esports,0,1,Hong Kong Esports,2015
25672,LMS 2015 Summer Playoffs,LMS,2015-07-24 10:15:00,30:25,Hong Kong Esports,Midnight Sun Esports,2,0,Hong Kong Esports,2015
25673,LMS 2015 Summer Playoffs,LMS,2015-07-24 11:03:00,36:59,Midnight Sun Esports,Hong Kong Esports,1,2,Midnight Sun Esports,2015
25674,LMS 2015 Summer Playoffs,LMS,2015-07-24 11:59:00,34:29,Hong Kong Esports,Midnight Sun Esports,3,1,Hong Kong Esports,2015
29936,EU LCS 2015 Summer,EU LCS,2015-07-24 15:54:00,46:23,Copenhagen Wolves,Giants Gaming,0,1,Giants Gaming,2015
9267,LPL 2015 Summer,LPL,2015-07-24 17:00:00,29:30,Snake Esports,Vici Gaming,1,0,Snake Esports,2015
9268,LPL 2015 Summer,LPL,2015-07-24 17:00:00,33:10,Vici Gaming,Snake Esports,1,1,Vici Gaming,2015
